# time,current_number_bots
0,0
0,0
21,1
21,1
43,1
43,1
64,2
64,2
85,5
85,5
106,8
106,8
127,11
127,11
148,13
148,13
169,19
169,19
190,21
190,21
211,26
211,26
232,34
232,34
253,42
253,42
274,51
274,51
295,57
295,57
316,60
316,60
337,70
337,70
358,75
358,75
379,82
379,82
400,87
400,87
421,91
421,91
442,94
442,94
463,95
463,95
514,95
514,95
535,98
535,98
556,99
556,99
577,100
577,100
3600,100
3621,0
3621,0
3666,0
3666,0
3687,1
3687,1
3708,2
3708,2
3729,3
3729,3
3750,5
3750,5
3771,6
3771,6
3792,10
3792,10
3813,14
3813,14
3834,19
3834,19
3855,24
3855,24
3876,33
3876,33
3897,43
3897,43
3918,47
3918,47
3939,52
3939,52
3960,64
3960,64
3981,79
3981,79
4002,85
4002,85
4023,90
4023,90
4044,93
4044,93
4065,97
4065,97
4086,98
4086,98
4153,98
4153,98
4174,100
4174,100
7260,100
7260,100
7281,0
7281,0
7341,0
7341,0
7362,1
7362,1
7383,2
7383,2
7412,2
7412,2
7433,6
7433,6
7454,12
7454,12
7475,15
7475,15
7496,16
7496,16
7517,21
7517,21
7538,27
7538,27
7559,31
7559,31
7580,38
7580,38
7601,42
7601,42
7622,51
7622,51
7643,58
7643,58
7664,64
7664,64
7685,69
7685,69
7706,81
7706,81
7727,84
7727,84
7748,85
7748,85
7769,86
7769,86
7790,90
7790,90
7811,92
7811,92
7832,94
7832,94
7853,97
7853,97
7874,98
7874,98
7895,99
7895,99
7916,100
7916,100
10920,100
10920,100
10941,0
10941,0
11052,0
11052,0
11073,1
11073,1
11099,1
11099,1
11120,3
11120,3
11186,3
11186,3
11207,6
11207,6
11235,6
11235,6
11256,10
11256,10
11277,14
11277,14
11298,20
11298,20
11319,29
11319,29
11340,39
11340,39
11361,47
11361,47
11382,57
11382,57
11403,62
11403,62
11424,66
11424,66
11445,75
11445,75
11466,81
11466,81
11487,90
11487,90
11508,94
11508,94
11529,95
11529,95
11557,95
11557,95
11578,99
11578,99
11709,99
11709,99
11730,100
11730,100
14580,100
14580,100
14601,0
14601,0
14653,0
14653,0
14674,3
14674,3
14695,4
14695,4
14716,5
14716,5
14753,5
14753,5
14774,6
14774,6
14795,7
14795,7
14816,11
14816,11
14837,12
14837,12
14863,12
14863,12
14884,16
14884,16
14905,22
14905,22
14926,28
14926,28
14947,29
14947,29
14968,36
14968,36
14989,41
14989,41
15010,46
15010,46
15031,59
15031,59
15052,64
15052,64
15073,67
15073,67
15094,76
15094,76
15115,86
15115,86
15136,90
15136,90
15157,93
15157,93
15178,95
15178,95
15199,97
15199,97
15222,97
15222,97
15243,98
15243,98
15274,98
15274,98
15295,100
