# time,message_loops * LIMIT + total_messages
0,0
0,0
10,22
20,42
30,62
40,82
50,102
60,122
70,142
80,162
90,182
100,202
110,220
110,220
120,242
130,262
140,282
150,302
160,322
170,342
180,362
190,382
200,402
210,422
220,440
220,440
230,462
240,482
250,502
260,522
270,542
280,562
290,582
300,622
310,662
320,702
330,742
340,782
350,822
360,862
370,914
380,972
390,1048
400,1160
410,1280
420,1400
430,1540
440,1730
450,1910
460,2104
470,2314
480,2548
490,2788
500,3106
510,3478
520,3930
530,4440
540,5002
550,5644
560,6364
570,7180
580,8018
580,8018
590,8904
600,9788
610,10692
620,11674
630,12728
640,13784
650,14852
660,15960
670,17102
680,18238
690,19428
700,20666
710,21974
720,23290
730,24620
740,25990
750,27408
760,28922
770,30488
780,32072
790,33652
800,35294
810,36920
820,38578
830,40292
840,42068
850,43858
860,45644
870,47466
880,49312
890,51142
900,53014
910,54920
920,56802
930,58700
940,60550
950,62420
960,64292
970,66132
980,68018
990,69924
1000,71840
1010,73758
1020,75694
1030,77604
1040,79576
1050,81508
1050,81508
1060,83464
1070,85436
1080,87380
1090,89382
1100,91366
1110,93320
1110,93320
1120,95276
1130,97226
1140,99150
1150,101096
1160,103010
1170,104930
1180,106826
1190,108694
1200,110590
1210,112474
1220,114346
1230,116244
1240,118126
1250,119992
1260,121908
1270,123804
1280,125750
1290,127690
1300,129580
1310,131482
1320,133350
1330,135198
1340,137078
1350,138976
1360,140870
1370,142780
1380,144678
1390,146550
1400,148456
1410,150316
1420,152184
1430,154044
1440,155884
1450,157720
1460,159556
1470,161384
1480,163204
1490,165054
1500,166912
1510,168782
1520,170636
1530,172498
1540,174326
1550,176182
1560,178048
1570,179920
1580,181816
1590,183706
1600,185604
1610,187492
1620,189402
1630,191292
1640,193182
1650,195106
1660,197014
1670,198896
1680,200774
1690,202640
1700,204518
1710,206402
1720,208302
1730,210172
1740,212040
1750,213916
1760,215806
1770,217742
1780,219674
1790,221630
1800,223598
1810,225560
1820,227518
1830,229474
1840,231426
1850,233374
1860,235272
1870,237170
1880,239096
1890,240988
1900,242850
1910,244698
1920,246564
1930,248454
1940,250330
1950,252208
1960,254072
1970,255952
1980,257838
1990,259726
2000,261580
2010,263438
2020,265286
2030,267126
2040,268976
2040,268976
2050,270858
2060,272766
2070,274638
2080,276516
2090,278416
2100,280302
2110,282196
2120,284072
2130,285914
2140,287792
2150,289684
2160,291576
2170,293502
2180,295418
2190,297330
2190,297330
2200,299278
2210,301222
2220,303122
2230,305030
2240,306904
2250,308796
2260,310694
2270,312582
2280,314478
2290,316402
2300,318320
2310,320254
2320,322218
2330,324162
2340,326108
2350,328036
2360,329982
2370,331930
2380,333870
