# time,current_number_bots
0,0
0,0
14,2
14,2
35,2
35,2
49,3
49,3
63,4
63,4
101,4
101,4
115,7
115,7
132,7
132,7
146,12
146,12
160,15
160,15
174,19
174,19
188,24
202,31
202,31
216,37
216,37
230,41
230,41
244,44
244,44
258,48
258,48
272,55
272,55
286,57
286,57
300,61
300,61
314,66
314,66
328,71
328,71
342,75
342,75
356,77
356,77
370,85
370,85
384,91
384,91
398,92
398,92
412,93
412,93
426,95
426,95
458,95
458,95
472,96
472,96
486,97
486,97
505,97
505,97
519,98
519,98
533,97
533,97
560,97
560,97
574,100
574,100
792,100
792,100
809,100
809,100
823,99
823,99
860,99
860,99
874,100
874,100
925,100
925,100
939,99
939,99
1013,99
1013,99
1027,100
1027,100
1252,100
1252,100
1266,99
1266,99
1318,99
1318,99
1332,100
1332,100
1568,100
1568,100
1582,99
1582,99
1604,99
1604,99
1618,100
1618,100
1650,100
1650,100
1664,99
1664,99
1817,99
1817,99
1831,100
1831,100
1845,99
1845,99
1859,98
1859,98
1935,98
1935,98
1949,99
1949,99
1963,100
1963,100
2128,100
2128,100
2142,98
2142,98
2175,98
2175,98
2189,99
2189,99
2203,100
2203,100
2408,100
2408,100
2422,99
2422,99
2436,100
2436,100
2450,99
2450,99
2523,99
2523,99
2537,100
2537,100
2698,100
2698,100
2712,99
2712,99
2763,99
2763,99
2777,100
2777,100
2803,100
2803,100
2817,98
2817,98
2831,97
2831,97
2845,98
2845,98
2859,99
2859,99
2951,99
2951,99
2965,100
2965,100
3137,100
3137,100
3151,98
3151,98
3204,98
3204,98
3218,99
3218,99
3368,99
3368,99
3382,97
3382,97
3410,97
3410,97
3443,97
3443,97
3457,98
3457,98
3492,98
3492,98
3506,99
3506,99
3534,99
3534,99
3548,98
3548,98
3590,98
3590,98
3604,100
3604,100
3694,100
3694,100
3708,99
3708,99
3722,100
3722,100
3828,100
3828,100
3842,99
3842,99
3858,99
3858,99
3872,100
3872,100
3905,100
3905,100
3919,99
3919,99
3934,99
3934,99
3988,99
3988,99
4002,100
4002,100
4104,100
4104,100
4118,99
4118,99
4218,99
4218,99
4232,100
4232,100
4270,100
4270,100
4284,99
4284,99
4300,99
4300,99
4314,100
4314,100
4328,99
4328,99
4342,100
4342,100
4381,100
4381,100
4395,99
4395,99
4460,99
4460,99
4474,98
4474,98
4584,98
4584,98
4598,99
4598,99
4613,99
4613,99
4639,99
4639,99
4653,100
4653,100
4857,100
4857,100
4943,100
4943,100
4957,99
4957,99
5022,99
5022,99
5036,100
5036,100
5054,100
5054,100
5068,98
5068,98
5084,98
5084,98
5098,99
5098,99
5159,99
5159,99
5173,100
5173,100
5187,99
5187,99
5301,99
5301,99
