# time,message_loops * LIMIT + total_messages
0,0
0,0
1,0
1,0
1,4
2,4
2,4
2,6
3,6
3,6
3,8
3,8
4,8
4,16
4,16
5,16
5,16
5,20
5,20
6,20
6,20
6,24
6,24
7,24
7,24
7,28
7,28
8,28
8,28
8,32
8,32
9,32
9,32
9,36
9,36
10,36
10,36
10,40
11,40
11,40
11,44
12,44
12,44
12,48
12,48
13,48
13,48
13,52
13,52
15,52
15,52
15,60
16,60
16,60
16,64
16,64
17,64
17,64
17,68
17,68
18,68
18,68
18,70
18,70
19,70
19,70
19,72
20,72
20,72
20,74
21,74
21,74
21,76
21,76
22,76
22,76
22,78
22,78
23,78
23,78
23,80
23,80
24,80
24,80
24,82
24,82
26,82
26,82
26,86
26,86
27,86
27,86
27,88
27,88
28,88
28,88
28,90
28,90
29,90
29,90
29,92
30,92
30,92
30,94
30,94
31,94
31,94
31,96
31,96
32,96
32,96
32,98
32,98
33,98
33,98
33,100
33,100
34,100
34,100
34,102
34,102
35,102
35,102
35,104
35,104
37,104
37,104
37,108
38,108
38,108
38,110
38,110
39,110
39,110
39,112
40,112
40,112
40,114
40,114
41,114
41,114
41,116
41,116
42,116
42,116
42,118
43,118
43,118
43,120
43,120
44,120
44,120
44,122
44,122
45,122
45,122
45,124
45,124
46,124
46,124
46,126
46,126
48,126
48,126
48,130
48,130
49,130
49,130
49,132
49,132
50,132
50,132
50,140
50,140
51,140
51,140
51,144
51,144
52,144
52,144
52,148
53,148
53,148
53,152
54,152
54,152
54,156
54,156
55,156
55,156
55,160
55,160
56,160
56,160
56,164
57,164
57,164
57,168
57,168
58,168
58,168
58,172
58,172
59,172
59,172
59,176
59,176
61,176
61,176
61,180
61,180
62,180
62,180
62,182
62,182
63,182
63,182
63,184
63,184
64,184
64,184
64,186
64,186
65,186
65,186
65,188
66,188
66,188
66,190
66,190
67,190
67,190
67,192
67,192
68,192
68,192
68,194
68,194
69,194
69,194
69,196
69,196
70,196
70,196
70,204
70,204
71,204
71,204
71,206
71,206
72,206
72,206
72,208
72,208
73,208
73,208
73,210
74,210
74,210
74,212
74,212
75,212
75,212
75,214
76,214
76,214
76,216
76,216
77,216
77,216
77,218
77,218
78,218
78,218
78,220
78,220
79,220
79,220
79,222
79,222
81,222
81,222
81,226
81,226
82,226
82,226
82,228
82,228
83,228
83,228
83,230
83,230
84,230
84,230
84,232
84,232
85,232
85,232
85,234
85,234
86,234
86,234
86,236
86,236
87,236
87,236
87,238
87,238
88,238
88,238
88,240
88,240
89,240
89,240
89,242
90,242
90,242
90,244
90,244
92,244
92,248
92,248
93,248
93,248
93,250
93,250
94,250
94,250
94,252
94,252
95,252
95,252
95,254
95,254
