# time,current_number_bots
0,0
0,0
292,0
292,0
302,1
302,1
366,1
366,1
376,2
376,2
386,3
386,3
396,4
396,4
406,5
406,5
420,5
420,5
430,7
430,7
440,8
440,8
456,8
456,8
466,9
466,9
476,11
476,11
491,11
491,11
501,16
501,16
511,19
511,19
521,23
521,23
531,27
531,27
541,28
541,28
551,33
551,33
561,37
561,37
571,40
571,40
581,42
581,42
591,43
591,43
604,43
604,43
614,48
614,48
624,50
624,50
634,52
634,52
644,51
644,51
654,54
654,54
664,56
664,56
681,56
681,56
691,60
691,60
701,62
701,62
711,65
711,65
724,65
724,65
734,66
734,66
744,69
744,69
754,73
754,73
764,76
764,76
774,79
774,79
784,78
784,78
794,80
794,80
804,81
804,80
815,80
815,80
825,84
825,84
835,88
835,88
853,88
853,88
863,90
863,90
873,89
873,90
883,91
883,91
893,92
893,92
903,94
903,94
919,94
919,94
929,93
929,93
939,91
939,92
975,92
975,92
985,94
985,94
995,96
995,95
1010,95
1010,95
1026,95
1026,95
1036,97
1036,97
1046,96
1046,96
1056,97
1056,97
1081,97
1081,97
1091,98
1091,98
1101,97
1101,97
1123,97
1123,97
1133,96
1133,96
1144,96
1144,96
1154,95
1154,95
1172,95
1172,95
1182,93
1182,93
1223,93
1223,93
1252,93
1252,93
1262,94
1262,94
1272,95
1272,95
1282,96
1282,96
1292,95
1292,95
1302,94
1302,94
1312,93
1312,93
1322,91
1322,91
1332,92
1332,92
1342,93
1342,93
1352,94
1352,93
1362,94
1362,94
1383,94
1383,94
1393,93
1393,93
1408,93
1408,93
1418,92
1418,92
1429,92
1429,92
1439,90
1439,90
1449,91
1449,91
1465,91
1465,91
1475,90
1475,90
1485,91
1485,91
1495,92
1495,92
1530,92
1530,92
1540,90
1540,90
1550,92
1550,92
1560,93
1560,93
1570,92
1570,93
1589,93
1589,93
1599,94
1599,94
1632,94
1632,94
1642,95
1642,95
1652,94
1652,94
1669,94
1669,94
1679,92
1679,92
1694,92
1694,92
1704,93
1704,93
1714,94
1714,94
1724,92
1724,92
1736,92
1736,92
1746,93
1746,93
1757,93
1757,93
1767,95
1767,95
1777,96
1777,96
1787,97
1787,97
1833,97
1833,97
1843,96
1843,96
1853,95
1853,95
1863,94
1863,94
1874,94
1874,94
1884,95
1884,94
1894,92
1894,92
1905,92
1905,92
1921,92
1921,92
1931,93
1931,93
1946,93
1946,93
1956,92
1956,92
1966,93
1966,93
1988,93
1988,93
1998,92
1998,92
2012,92
2012,92
2024,92
2024,92
2034,90
2034,90
2044,94
2044,93
2054,94
2054,94
2064,93
2064,93
2080,93
2080,93
2101,93
2101,93
2111,94
2111,94
2121,91
2121,91
2131,92
2131,92
2141,93
