# time,message_loops * LIMIT + total_messages
0,0
0,0
73,148
146,496
219,1998
292,5608
365,12616
438,23098
511,36340
584,50470
657,65044
730,79716
803,94324
876,108816
949,123466
1022,138230
1095,152970
1168,167702
1168,167702
1241,182376
1241,182376
1314,197044
1387,211644
1460,226334
1533,241074
1533,241074
1606,255828
1679,270490
1752,285226
1825,299860
1825,299860
1898,314450
1971,328928
2044,343272
2117,357860
2190,372598
2263,387356
2336,402032
2409,416700
2482,431392
2555,446138
2555,446138
2628,460892
2701,475636
2774,490368
2847,505130
2920,519874
2993,534612
3066,549370
3139,564106
3139,564106
3212,578846
3285,593434
3358,608080
3431,622686
3504,637288
3577,651928
3650,666652
3650,666652
3723,681392
3796,696136
3869,710870
3942,725390
3942,725390
4015,740066
4088,754716
4161,769460
4234,784168
4307,798776
4380,813442
4453,828196
4526,842946
4599,857666
4599,857666
4672,872364
4745,887098
4745,887098
4818,901850
4891,916470
4964,931040
5037,945796
5110,960488
5183,975212
5183,975212
5256,989970
5329,1004720
5402,1019454
5475,1034096
5475,1034096
5548,1048770
5621,1063516
5694,1078266
5767,1093012
5840,1107764
5913,1122488
5986,1137068
6059,1151772
6132,1166522
6205,1181066
6278,1195680
6351,1210422
6424,1225122
6497,1239810
6570,1254556
6643,1269300
6716,1284040
6789,1298580
6862,1313068
6935,1327684
7008,1342408
7081,1357090
7154,1371812
7154,1371812
7227,1386548
7300,1401308
7373,1415990
7373,1415990
7446,1430598
7446,1430598
7519,1445218
7592,1459704
7592,1459704
7665,1474422
7665,1474422
7738,1489068
7811,1503604
7884,1518234
7957,1532978
7957,1532978
8030,1547662
8103,1562278
8176,1577014
8249,1591752
8322,1606514
8395,1621244
8468,1636008
8541,1650746
8614,1665482
8614,1665482
8687,1680236
8687,1680236
8760,1694978
8833,1709712
8906,1724404
8979,1739006
9052,1753600
9125,1768364
9198,1783094
9271,1797858
9344,1812598
9417,1827332
9490,1841816
9563,1856052
9636,1870350
9709,1884912
9782,1899630
9855,1914236
9928,1928998
10001,1943626
10001,1943626
10074,1958018
10147,1972666
10147,1972666
10220,1987334
10293,2002086
10366,2016830
10439,2031574
10512,2046314
10512,2046314
10585,2061060
10658,2075810
10731,2090568
10731,2090568
10804,2105294
10877,2120066
10950,2134808
11023,2149540
11096,2164292
11169,2179036
11242,2193780
11315,2208426
11315,2208426
11388,2223172
11388,2223172
11461,2237922
11534,2252676
11607,2267408
11680,2282128
11753,2296724
11826,2311420
11899,2326082
11899,2326082
11972,2340582
12045,2355308
12118,2369882
12191,2384432
12264,2399144
12337,2413850
12410,2428406
12483,2443064
12556,2457698
12629,2472424
12702,2487092
12775,2501742
12848,2516486
12921,2531122
