# time,message_loops * LIMIT + total_messages
0,0
0,0
147,2166
294,12518
441,35424
588,63566
588,63566
735,93114
882,122662
1029,152226
1176,181928
1323,211570
1470,241204
1617,270892
1764,300580
1911,330166
2058,359572
2205,389256
2205,389256
2352,418950
2499,448652
2646,478332
2793,508032
2940,537722
3087,567426
3234,597116
3381,626804
3528,656494
3675,686198
3822,715744
3969,745262
4116,774964
4263,804644
4410,834344
4557,864034
4557,864034
4704,893734
4851,923354
4998,952796
5145,982308
5292,1011612
5439,1041018
5439,1041018
5586,1070680
5733,1100378
5880,1130064
6027,1159656
6174,1189258
6321,1218662
6468,1248060
6615,1277276
6615,1277276
6762,1306966
6909,1336662
7056,1366366
7203,1396054
7350,1425758
7497,1455438
7644,1485140
7791,1514832
7938,1544532
8085,1574222
8085,1574222
8232,1603910
8379,1633600
8526,1663296
8673,1693000
8820,1722688
8967,1752392
9114,1782072
9261,1811774
9408,1841338
9555,1871038
9702,1900724
9849,1930418
9996,1960084
10143,1989634
10290,2019150
10437,2048796
10584,2078268
10731,2107948
10878,2137648
11025,2167346
11172,2197040
11319,2226728
11466,2256422
11613,2286102
11760,2315812
11907,2345512
12054,2375200
12201,2404902
12348,2434582
12495,2464282
12642,2493980
12789,2523674
12936,2553362
13083,2583056
13230,2612736
13377,2642446
13524,2672146
13671,2701834
13818,2731536
13965,2761216
13965,2761216
14112,2790916
14259,2820614
14259,2820614
14406,2850308
14406,2850308
14553,2879996
14700,2909690
14700,2909690
14847,2939134
14994,2968804
15141,2998504
15288,3028194
15435,3057894
15582,3087340
15729,3117040
15729,3117040
15876,3146740
16023,3176432
16170,3205898
16317,3235588
16317,3235588
16464,3265268
16464,3265268
16611,3294974
16758,3324678
16905,3354368
17052,3384062
17199,3413710
17346,3443294
17493,3472998
17640,3502692
17787,3532380
17934,3561904
18081,3591586
18228,3621290
18375,3650998
18522,3680686
18669,3710376
18816,3740066
18963,3769762
19110,3799458
19257,3829158
19404,3858848
19404,3858848
19551,3888538
19698,3918220
19845,3947924
19992,3977632
20139,4007320
20286,4037010
20433,4066700
20580,4096396
20580,4096396
20727,4126092
20874,4155792
21021,4185482
21168,4215034
21315,4244714
21462,4274206
21609,4303612
21756,4333168
21903,4362732
21903,4362732
22050,4392338
22050,4392338
22197,4422038
22344,4451722
22344,4451722
22491,4481428
22638,4511122
22785,4540810
22785,4540810
22932,4570490
23079,4600190
23226,4629894
23373,4659592
23520,4689282
23667,4718972
23667,4718972
23814,4748672
23961,4778356
24108,4808062
24255,4837756
24402,4867444
24549,4897124
24696,4926824
24843,4956528
24990,4986226
25137,5015916
25137,5015916
25284,5045370
25431,5074590
25578,5104114
25725,5133824
