# time,current_number_bots
0,0
0,0
1476,100
1476,100
9499,100
9499,100
28247,100
28247,100
34391,100
34391,100
39004,100
39004,100
57574,100
57574,100
72728,100
72728,100
87993,100
87993,100
90732,100
90732,100
96002,100
96002,100
102153,100
102153,100
122586,100
122586,100
127480,100
127480,100
132697,100
132697,100
134495,100
134495,100
137239,100
137239,100
161780,100
161780,100
167654,100
167654,100
172069,100
172069,100
179850,100
179850,100
188180,100
188180,100
189656,99
189656,99
191132,100
191132,100
202459,100
202459,100
226591,100
226591,100
230568,100
230568,100
249417,100
249417,100
253552,100
253552,100
255958,100
255958,100
279185,100
279185,100
280661,99
280661,99
282137,100
282137,100
290774,100
290774,100
308144,100
308144,100
312843,100
312843,100
318415,100
318415,100
340152,100
340152,100
358476,100
358476,100
360454,100
360454,100
382260,100
382260,100
393945,100
393945,100
396032,100
396032,100
397508,99
397508,99
399197,99
399197,99
400673,100
400673,100
407619,100
407619,100
409880,100
409880,100
434284,100
434284,100
443136,100
443136,100
479472,100
479472,100
482871,100
482871,100
509426,100
509426,100
513253,100
513253,100
526526,100
526526,100
555892,100
555892,100
568578,100
568578,100
582262,100
582262,100
584982,100
584982,100
587559,100
587559,100
594244,100
594244,100
609709,100
609709,100
611647,100
611647,100
624817,100
624817,100
632978,100
632978,100
642465,100
642465,100
648135,100
648135,100
654736,100
654736,100
659095,100
659095,100
660571,99
660571,99
662047,100
662047,100
667324,100
667324,100
676186,100
676186,100
687252,100
687252,100
690837,100
690837,100
702213,100
702213,100
705213,100
705213,100
712696,100
712696,100
720269,100
720269,100
730999,100
730999,100
737315,100
737315,100
739407,100
739407,100
742213,100
742213,100
756059,100
756059,100
759490,100
759490,100
768446,100
768446,100
770983,100
770983,100
791182,100
791182,100
793979,100
793979,100
795455,99
795455,99
796931,100
796931,100
803146,100
803146,100
823068,100
823068,100
824544,99
824544,99
826020,100
826020,100
828096,100
828096,100
832593,100
832593,100
856099,100
856099,100
874847,100
874847,100
880991,100
880991,100
885604,100
885604,100
904174,100
904174,100
919328,100
919328,100
934593,100
934593,100
937332,100
937332,100
942602,100
942602,100
944078,99
944078,99
945554,100
945554,100
948753,100
948753,100
969186,100
969186,100
974080,100
974080,100
979297,100
979297,100
981095,100
981095,100
983839,100
983839,100
1008380,100
1008380,100
1014254,100
1014254,100
1018669,100
1018669,100
1026450,100
1026450,100
1034780,100
1034780,100
1036256,99
1036256,99
1037732,100
1037732,100
1049059,100
1049059,100
1073191,100
1073191,100
1077168,100
1077168,100
1096017,100
1096017,100
1100152,100
1100152,100
1102558,100
1102558,100
1125785,100
1125785,100
1127261,99
1127261,99
1128737,100
1128737,100
1137374,100
1137374,100
1154744,100
