# time,message_loops * LIMIT + total_messages
0,0
0,0
21,44
42,86
63,128
84,170
105,212
126,254
147,296
168,338
189,380
210,422
231,486
252,570
273,654
294,760
315,932
336,1132
357,1554
378,2064
399,2652
420,3366
441,4188
462,5256
483,6766
504,8578
525,10720
546,13182
567,15792
588,18584
609,21654
630,25050
651,28776
672,32678
693,36678
693,36678
714,40790
735,44920
735,44920
756,49050
777,53156
777,53156
798,57246
819,61252
840,65178
861,69132
882,73158
882,73158
903,77258
924,81326
945,85440
966,89500
987,93526
1008,97546
1029,101590
1050,105662
1071,109762
1071,109762
1092,113990
1113,118174
1134,122368
1155,126526
1155,126526
1176,130646
1197,134678
1218,138730
1239,142796
1239,142796
1260,146926
1281,151024
1281,151024
1302,155048
1323,159054
1344,163036
1365,167066
1386,171082
1386,171082
1407,175238
1428,179346
1449,183466
1470,187580
1491,191696
1512,195780
1533,199846
1554,203984
1575,208142
1596,212292
1617,216442
1638,220644
1659,224802
1680,228938
1680,228938
1701,233086
1722,237292
1743,241408
1764,245484
1764,245484
1785,249558
1806,253636
1827,257698
1848,261758
1869,265794
1890,269826
1911,273806
1932,277742
1953,281660
1974,285588
1995,289508
2016,293468
2037,297458
2037,297458
2058,301424
2079,305404
2100,309392
2121,313400
2142,317364
2163,321378
2184,325458
2205,329484
2205,329484
2226,333566
2247,337680
2268,341826
2289,345946
2310,350056
2331,354192
2352,358330
2373,362484
2394,366604
2415,370736
2436,374812
2457,378890
2478,382966
2478,382966
2499,387036
2520,391210
2541,395360
2562,399542
2583,403630
2604,407702
2604,407702
2625,411780
2646,415906
2667,420008
2688,424118
2709,428206
2730,432330
2751,436434
2772,440564
2772,440564
2793,444738
2814,448860
2835,452864
2856,456840
2877,460924
2898,465052
2919,469208
2940,473320
2961,477374
2982,481384
3003,485324
3024,489302
3045,493276
3066,497286
3087,501302
3087,501302
3108,505312
3129,509340
3150,513418
3171,517542
3192,521776
3213,525970
3234,530128
3255,534274
3276,538348
3297,542436
3318,546554
3339,550672
3339,550672
3360,554830
3381,558942
3402,563114
3423,567230
3444,571356
3465,575448
3486,579526
3507,583602
3528,587694
3549,591760
3570,595856
3591,599924
3612,603994
3633,608124
3654,612234
3675,616404
3696,620544
3696,620544
3717,624714
3738,628828
3759,632910
3780,636954
3801,640952
3822,644912
3843,648860
3864,652862
3885,656822
3885,656822
3906,660874
3927,664906
3948,668872
3969,672902
3990,676966
4011,681074
4032,685160
4053,689336
4074,693500
4095,697660
4116,701732
4137,705814
4158,709840
4179,713876
4200,717912
4221,721970
4242,726084
4263,730198
4284,734234
4305,738242
4326,742284
4347,746328
4368,750408
4368,750408
4389,754494
4410,758560
4431,762624
