# time,current_number_bots
0,0
0,0
206,10
206,10
412,85
412,85
618,97
618,97
824,99
824,99
1040,99
1040,99
1246,98
1246,98
1603,98
1603,98
1809,96
1809,96
2073,96
2073,96
2279,98
2279,98
2773,98
2773,98
2979,99
2979,99
3778,99
3778,99
3984,97
3984,97
4423,97
4423,97
4629,99
4629,99
4980,99
4980,99
5186,97
5186,97
5392,98
5392,98
5598,97
5598,97
5804,99
5804,99
6010,98
6010,98
6226,98
6226,98
6432,99
6432,99
6648,99
6648,99
6854,100
6854,100
8536,100
8536,100
8742,99
8742,99
8966,99
8966,99
9172,95
9172,95
9378,96
9378,96
9584,93
9584,93
9790,96
9790,96
9996,97
9996,97
10202,98
10202,98
10408,100
10408,100
10724,100
10724,100
10930,99
10930,99
11213,99
11213,99
11419,98
11419,98
11674,98
11674,98
11952,98
11952,98
12398,98
12398,98
12604,99
12604,99
12855,99
12855,99
13061,98
13061,98
13267,97
13267,97
13473,96
13473,96
13679,97
13679,97
13885,96
13885,96
14140,96
14140,96
14346,98
14346,98
14552,99
14552,99
14759,99
14759,99
14965,95
14965,95
15199,95
15199,95
15407,95
15407,95
15613,98
15613,98
15819,97
15819,97
16130,97
16130,97
16353,97
16353,97
16712,97
16712,97
16918,96
16918,96
17124,99
17124,99
17373,99
17373,99
17579,100
17579,100
17851,100
17851,100
18057,98
18057,98
18263,97
18263,97
18469,96
18469,96
18920,96
18920,96
19126,97
19126,97
19332,98
19332,98
19715,98
19715,98
19969,98
19969,98
20494,98
20494,98
20700,100
20700,100
21039,100
21039,100
21245,99
21245,99
21451,97
21451,97
21657,96
21657,96
21863,97
21863,97
22108,97
22108,97
22314,100
22314,100
22888,100
22888,100
23094,99
23094,99
23300,98
23300,98
23506,96
23506,96
23712,95
23712,95
23918,96
23918,96
24124,94
24124,94
24330,96
24330,96
24570,96
24570,96
24776,98
24776,98
24982,99
24982,99
25199,99
25199,99
25835,99
25835,99
26204,99
26204,99
26410,98
26410,98
26616,97
26616,97
26822,96
26822,96
27028,97
27028,97
27422,97
27422,97
27628,99
27628,99
27834,100
27834,100
28917,100
28917,100
29123,98
29123,98
29712,98
29712,98
29918,100
29918,100
30124,99
30124,99
30330,98
30330,98
30637,98
30637,98
30980,98
30980,98
31447,98
31447,98
31653,97
31653,97
31931,97
31931,97
32137,98
32137,98
32396,98
32396,98
32602,99
32602,99
33046,99
33046,99
33826,99
33826,99
34198,99
34198,99
34404,97
34404,97
34610,96
34610,96
34816,95
34816,95
35022,96
35022,96
35228,99
35228,99
35920,99
35920,99
36126,100
36126,100
36899,100
36899,100
37105,99
37105,99
37547,99
37547,99
37753,98
37753,98
38203,98
38203,98
38409,96
