# time,current_number_bots
0,0
0,0
206,25
206,25
412,85
412,85
618,82
618,82
824,77
824,77
1093,77
1093,77
1299,75
1299,75
1505,73
1505,73
1711,72
1711,72
1917,75
1917,75
2129,75
2129,75
2355,75
2355,75
2561,74
2561,74
2767,76
2767,76
2973,77
2973,77
3179,80
3179,80
3385,87
3385,87
3591,95
3591,95
3816,95
3816,95
4022,90
4022,90
4228,82
4228,82
4434,79
4434,79
4640,76
4640,76
4846,72
4846,72
5052,74
5052,74
5290,74
5290,74
5496,80
5496,80
5702,75
5702,75
5908,77
5908,77
6114,75
6114,75
6320,78
6320,78
6542,78
6542,78
6748,81
6954,88
6954,88
7160,97
7160,97
7366,96
7366,96
7572,90
7572,90
7778,84
7778,84
7984,78
7984,78
8190,80
8190,80
8396,74
8396,75
8602,72
8602,72
8808,75
8808,75
9014,77
9014,77
9220,76
9220,76
9426,77
9426,77
9632,78
9632,78
9859,78
9859,78
10088,78
10088,78
10296,78
10296,78
10502,87
10502,87
10708,94
10708,94
10914,96
10914,96
11120,91
11120,91
11326,86
11326,86
11532,79
11532,79
11745,79
11745,79
11951,76
11951,76
12160,76
12160,76
12366,74
12366,74
12579,74
12579,74
12785,75
12785,74
12991,76
12991,76
13197,75
13197,75
13403,74
13403,74
13609,77
13609,77
13815,76
13815,76
14021,83
14021,83
14227,91
14227,91
14433,98
14433,98
14639,93
14639,93
14845,88
14845,88
15051,81
15051,81
15257,77
15257,77
15463,78
15463,78
15669,76
15669,76
15875,75
15875,75
16081,76
16081,76
16287,79
16287,79
16493,73
16493,73
16699,77
16699,77
16905,78
16905,78
17111,76
17111,76
17317,77
17317,77
17523,78
17523,78
17729,87
17729,87
17935,95
17935,95
18141,97
18141,96
18347,91
18347,91
18553,85
18553,85
18759,79
18759,79
18994,79
18994,79
19200,78
19200,78
19406,75
19406,75
19690,75
19690,75
19896,79
19896,79
20102,75
20102,75
20308,77
20308,77
20514,74
20514,74
20720,80
20720,80
20926,78
20926,78
21132,80
21132,80
21338,88
21338,88
21544,94
21544,94
21750,96
21750,96
21956,91
21956,91
22162,85
22162,85
22368,80
22368,80
22574,78
22574,78
22780,77
22780,77
22986,75
22986,75
23192,74
23192,74
23398,77
23398,77
23604,78
23604,78
23810,75
23810,75
24016,79
24016,79
24222,76
24222,76
24428,77
24428,77
24683,77
24683,77
24889,87
24889,87
25095,93
25095,93
25301,97
25301,96
25507,91
25507,91
25713,87
25713,87
25919,81
25919,81
26125,80
26125,80
26331,75
26331,75
26537,76
26537,76
26743,75
26743,75
26953,75
26953,75
27159,76
27159,76
27365,77
27365,77
27571,78
27571,78
27777,74
27777,74
27983,78
27983,78
28189,75
28189,75
