# time,message_loops * LIMIT + total_messages
0,0
0,0
206,3950
412,28226
618,63224
824,96614
824,96614
1030,129406
1236,161412
1442,192570
1442,192570
1648,222832
1854,253384
2060,284966
2266,316666
2266,316666
2472,348434
2678,379904
2884,411782
3090,443700
3296,477468
3502,514116
3708,554036
3914,593394
4120,630578
4326,665106
4532,698188
4738,730350
4738,730350
4944,761312
5150,792398
5356,822828
5562,854952
5768,886852
5974,919100
6180,950998
6386,982788
6592,1015420
6798,1048108
7004,1084072
7210,1123402
7416,1163624
7622,1201782
7828,1237552
8034,1270600
8240,1303334
8240,1303334
8446,1335072
8652,1365872
8858,1396858
9064,1428432
9270,1459642
9476,1491430
9682,1523824
9888,1556162
10094,1589154
10300,1621366
10506,1656220
10712,1694148
10918,1734328
11124,1773336
11330,1810434
11536,1844810
11742,1877544
11948,1910210
12154,1942146
12360,1973632
12566,2004794
12772,2036590
12978,2067702
13184,2099636
13390,2131074
13596,2163030
13802,2195654
14008,2228426
14214,2264262
14420,2303656
14626,2343478
14832,2381238
15038,2416856
15244,2450136
15450,2482458
15656,2514218
15862,2545964
16068,2576924
16274,2608170
16480,2639834
16686,2671668
16892,2704050
17098,2735268
17304,2767598
17510,2799470
17716,2833678
17922,2871088
18128,2911712
18334,2950828
18540,2987812
18746,3022076
18952,3055012
19158,3087880
19364,3119896
19570,3151382
19776,3182174
19982,3214770
20188,3246056
20394,3278204
20600,3309468
20806,3341768
21012,3373868
21218,3407126
21424,3443848
21630,3482980
21630,3482980
21836,3523244
22042,3561208
22248,3596660
22454,3630174
22660,3662820
22866,3694908
23072,3726746
23278,3758278
23484,3790128
23690,3822330
23896,3853902
24102,3886248
24308,3918112
24514,3950368
24720,3982346
24926,4017818
25132,4055594
25338,4095914
25544,4134868
25750,4171724
25956,4205802
26162,4238874
26368,4270876
26574,4302140
26780,4332970
26986,4364682
27192,4397042
27398,4428864
27604,4461344
27810,4493358
28016,4525132
28222,4557164
28222,4557164
28428,4590516
28634,4627498
28840,4667026
29046,4706768
29252,4744608
29458,4779930
29664,4812754
29664,4812754
29870,4845170
30076,4876724
30282,4907876
30488,4939572
30694,4970794
30900,5002168
31106,5033726
31312,5065992
31518,5097506
31724,5130334
31930,5162608
32136,5198344
32342,5236946
32548,5277730
32548,5277730
32754,5316602
32960,5353336
33166,5387266
33372,5420126
33372,5420126
33578,5452560
33784,5484300
33990,5515688
34196,5547158
34402,5578916
34608,5610886
34814,5643524
35020,5675520
35226,5707628
35432,5739680
35432,5739680
35638,5773098
35844,5809716
35844,5809716
36050,5849554
36256,5889308
36462,5927040
36668,5962232
36668,5962232
36874,5995652
37080,6028254
37286,6059732
37492,6090730
