# time,current_number_bots
0,0
0,0
206,25
206,25
412,86
412,86
618,97
618,97
824,98
824,98
1030,96
1030,96
1248,96
1248,96
1454,97
1454,97
1664,97
1664,97
1870,98
1870,98
2097,98
2097,98
2303,99
2303,99
2509,98
2509,98
2715,97
2715,97
2929,97
2929,97
3135,98
3135,98
3341,100
3341,100
3636,100
3636,100
3842,99
3842,99
4214,99
4214,99
4770,99
4770,99
4995,99
4995,99
5201,97
5201,97
5407,98
5407,98
5727,98
5727,98
5933,99
5933,99
6139,100
6139,100
7323,100
7323,100
7529,99
7529,99
8041,99
8041,99
8247,100
8247,100
8760,100
8760,100
8966,99
8966,99
9172,98
9172,98
9525,98
9525,98
9731,99
9731,99
10218,99
10218,99
10424,96
10424,96
10630,97
10630,97
10836,95
10836,95
11042,98
11042,98
11265,98
11265,98
11941,98
11941,98
12147,99
12147,99
12736,99
12736,99
12942,98
12942,98
13351,98
13351,98
14013,98
14013,98
14319,98
14319,98
14525,97
14525,97
14731,99
14731,99
14937,100
14937,100
15143,99
15143,99
15670,99
15670,99
16374,99
16374,99
16580,100
16580,100
17046,100
17046,100
17252,98
17252,98
17549,98
17549,98
17907,98
17907,98
18113,99
18113,99
18474,99
18474,99
18680,98
18680,98
18886,99
18886,99
19092,98
19092,98
19615,98
19615,98
19821,100
19821,100
20027,99
20027,99
20423,99
20423,99
20629,98
20629,98
20835,97
20835,97
21044,97
21044,97
21279,97
21279,97
21586,97
21586,97
21792,96
21792,96
21998,97
21998,97
22297,97
22297,97
22503,98
22503,98
22709,99
22709,99
23249,99
23249,99
23455,100
23455,100
23776,100
23776,100
23982,98
23982,98
24516,98
24516,98
24722,99
24722,99
25172,99
25172,99
25378,98
25378,98
25584,96
25584,96
25862,96
25862,96
26068,97
26068,97
26274,99
26274,99
26480,98
26480,98
26832,98
26832,98
27038,99
27038,99
27244,98
27244,98
27450,97
27450,97
27656,98
27656,98
27862,99
27862,99
28613,99
28613,99
28819,100
28819,100
29682,100
29682,100
29888,99
29888,99
30332,99
30332,99
30538,100
30538,100
30825,100
30825,100
31031,99
31031,99
31237,98
31237,98
31449,98
31449,98
31655,99
31655,99
31861,100
31861,100
32497,100
32497,100
32703,99
32703,99
32986,99
32986,99
33192,98
33192,98
33436,98
33436,98
33642,97
33642,97
33848,99
33848,99
34323,99
34323,99
34529,100
34529,100
34749,100
34749,100
34955,97
34955,97
35161,96
35161,96
35512,96
35512,96
35718,99
35718,99
35924,100
35924,100
37235,100
37235,100
37441,98
37441,98
37647,96
37647,96
37853,97
37853,97
38148,97
38148,97
38354,98
38354,98
38560,99
38560,99
38929,99
38929,99
39247,99
39247,99
39453,97
39453,97
39659,98
