# time,message_loops * LIMIT + total_messages
0,0
0,0
206,3016
412,31068
618,71418
618,71418
824,112582
824,112582
1030,153376
1236,194184
1442,234970
1648,276176
1854,317342
2060,358126
2060,358126
2266,398908
2472,439732
2678,480948
2884,522130
3090,563326
3296,604530
3502,645752
3708,686936
3914,728142
4120,769332
4326,810536
4532,851730
4738,892932
4944,934126
5150,974756
5356,1015130
5562,1055534
5768,1096500
5974,1137684
6180,1178884
6180,1178884
6386,1220078
6592,1261286
6798,1302480
7004,1343680
7210,1384896
7416,1426078
7622,1467276
7828,1508480
8034,1549700
8240,1590884
8446,1632084
8652,1673278
8858,1714082
9064,1754864
9064,1754864
9270,1795682
9476,1836896
9682,1878078
9682,1878078
9888,1919276
10094,1960476
10300,2001700
10506,2042886
10712,2084084
10918,2125278
11124,2166048
11124,2166048
11330,2206418
11536,2246800
11742,2287578
11948,2328764
12154,2369962
12154,2369962
12360,2411164
12566,2452384
12772,2493574
12772,2493574
12978,2534770
13184,2575964
13390,2617172
13596,2658362
13802,2699574
14008,2740778
14214,2781964
14420,2823162
14626,2864306
14832,2905114
15038,2945892
15244,2986722
15450,3027916
15656,3069124
15862,3110310
16068,3151526
16274,3192730
16480,3233918
16686,3275114
16892,3316318
17098,3357536
17304,3398726
17510,3439922
17716,3480854
17922,3521650
18128,3562424
18334,3603468
18540,3644674
18746,3685678
18746,3685678
18952,3725868
19158,3765832
19364,3805832
19570,3846812
19776,3888008
19776,3888008
19982,3929202
20188,3970412
20394,4011598
20394,4011598
20600,4052808
20806,4094018
21012,4135198
21218,4176404
21424,4217604
21630,4258822
21836,4300012
22042,4341208
22248,4382402
22454,4423612
22660,4464798
22866,4506008
23072,4547218
23278,4588398
23484,4629604
23484,4629604
23690,4670804
23896,4712022
24102,4753212
24308,4794408
24514,4835602
24720,4876812
24926,4917998
25132,4959208
25338,5000418
25544,5041546
25750,5082340
25956,5123128
25956,5123128
26162,5163912
26368,5204692
26574,5245464
26780,5286076
26986,5326750
26986,5326750
27192,5367522
27192,5367522
27398,5408324
27604,5449494
27810,5490562
28016,5531358
28222,5572138
28222,5572138
28428,5613032
28634,5654228
28840,5695408
29046,5736618
29252,5777826
29458,5819010
29664,5860224
29870,5901430
30076,5942610
30282,5983818
30488,6025014
30488,6025014
30694,6065830
30900,6106614
31106,6147068
31312,6187608
31518,6227990
31724,6268084
31724,6268084
31930,6308640
32136,6349020
32342,6389732
32548,6430112
32548,6430112
32754,6470824
32960,6511216
33166,6551992
33372,6592820
33578,6634028
33784,6675230
33990,6716418
34196,6757628
34402,6798826
34608,6839910
34814,6880698
35020,6921408
35226,6961790
35432,7002136
35638,7042564
35844,7083360
36050,7124234
