# time,message_loops * LIMIT + total_messages
0,0
0,0
206,2590
412,21374
618,59748
824,100752
1030,141950
1030,141950
1236,182926
1236,182926
1442,223718
1648,264340
1854,304258
2060,344210
2266,384432
2472,425490
2678,466254
2884,507278
3090,548530
3296,589724
3502,630928
3502,630928
3708,672120
3914,712670
4120,752920
4120,752920
4326,793286
4532,833918
4738,875098
4944,916280
5150,956802
5356,997378
5562,1038096
5768,1078846
5974,1120044
6180,1160866
6386,1201978
6592,1243170
6798,1284670
7004,1326302
7210,1367898
7416,1409516
7416,1409516
7622,1451124
7828,1492746
8034,1534350
8240,1575964
8446,1617582
8652,1658958
8858,1700150
9064,1741112
9270,1781134
9476,1820966
9476,1820966
9682,1859840
9888,1899818
10094,1940202
10300,1981016
10506,2022492
10506,2022492
10712,2064114
10712,2064114
10918,2105326
10918,2105326
11124,2146526
11330,2187442
11536,2228168
11742,2268808
11948,2309456
12154,2350414
12154,2350414
12360,2391204
12566,2432330
12566,2432330
12772,2473476
12978,2514444
13184,2555216
13390,2595716
13596,2635764
13802,2675884
14008,2716058
14214,2756292
14420,2797070
14626,2838184
14832,2878754
15038,2918300
15244,2957954
15450,2997896
15656,3038718
15862,3079196
16068,3119582
16274,3160252
16480,3200626
16686,3241006
16892,3281004
17098,3321540
17304,3362736
17510,3404226
17716,3445834
17922,3487300
18128,3528096
18334,3568742
18540,3608660
18746,3648212
18952,3688246
19158,3728548
19364,3769236
19570,3810030
19570,3810030
19776,3850952
19982,3891898
20188,3932714
20394,3973512
20600,4014530
20806,4055992
21012,4097600
21218,4138862
21424,4179894
21630,4220216
21836,4260316
22042,4300704
22248,4341762
22454,4383350
22660,4424970
22866,4466588
23072,4507838
23278,4548906
23484,4589342
23690,4629066
23896,4668676
24102,4708494
24308,4748118
24514,4788096
24720,4828100
24926,4868750
25132,4909968
25338,4951040
25544,4992232
25750,5033436
25750,5033436
25956,5074872
26162,5116218
26368,5157074
26368,5157074
26574,5197880
26780,5238258
26986,5278500
27192,5318804
27398,5359200
27604,5400092
27810,5441376
28016,5482984
28222,5524592
28222,5524592
28428,5566212
28634,5607798
28840,5649438
29046,5690698
29252,5731482
29252,5731482
29458,5772260
29664,5813068
29870,5854386
30076,5895832
30282,5936918
30282,5936918
30488,5977702
30694,6018622
30900,6059674
31106,6100748
31312,6141630
31518,6182288
31724,6222642
31930,6263232
32136,6303350
32342,6344128
32548,6384810
32754,6425978
32960,6467180
33166,6508608
33372,6549914
33578,6591112
33784,6632310
33990,6673546
33990,6673546
34196,6714770
34196,6714770
34402,6755202
34608,6794874
34814,6834618
35020,6874544
35020,6874544
35226,6915640
35226,6915640
35432,6956534
35638,6997754
35844,7038952
