# time,message_loops * LIMIT + total_messages
0,0
0,0
21,74
42,158
63,284
63,284
84,490
105,762
126,1216
147,1774
147,1774
168,2428
189,3308
210,4380
231,5696
252,7304
273,9308
294,11616
315,14142
336,16904
357,20020
378,23376
378,23376
399,26992
420,30770
441,34674
462,38706
483,42746
504,46768
525,50828
525,50828
546,55000
567,59202
588,63440
609,67698
630,71928
651,76168
672,80408
693,84654
714,88904
735,93136
756,97354
777,101610
798,105868
819,110102
819,110102
840,114360
861,118590
882,122830
903,127070
903,127070
924,131316
924,131316
945,135566
966,139798
987,144016
1008,148272
1029,152530
1050,156764
1050,156764
1071,161022
1092,165252
1113,169492
1134,173732
1155,177978
1176,182228
1197,186460
1218,190678
1239,194934
1260,199192
1281,203426
1302,207684
1323,211914
1344,216154
1365,220394
1386,224640
1407,228890
1428,233122
1449,237340
1449,237340
1470,241596
1491,245854
1512,250088
1533,254346
1554,258576
1575,262816
1596,267056
1617,271302
1638,275552
1659,279784
1680,284002
1680,284002
1701,288258
1722,292516
1743,296750
1764,301008
1785,305238
1806,309478
1827,313718
1848,317964
1869,322214
1890,326446
1911,330664
1932,334920
1953,339178
1974,343412
1974,343412
1995,347670
2016,351900
2037,356140
2058,360380
2079,364626
2100,368876
2121,373108
2142,377326
2163,381582
2184,385840
2205,390074
2226,394332
2247,398562
2268,402802
2289,407042
2310,411288
2331,415538
2352,419770
2373,423988
2394,428244
2415,432502
2436,436736
2457,440994
2478,445224
2499,449464
2520,453704
2541,457950
2562,462200
2583,466432
2604,470650
2625,474906
2646,479164
2646,479164
2667,483398
2688,487656
2709,491886
2730,496126
2751,500366
2772,504612
2793,508862
2814,513094
2835,517312
2835,517312
2856,521568
2856,521568
2877,525826
2898,530060
2919,534318
2940,538548
2961,542788
2982,547028
3003,551274
3024,555524
3045,559756
3066,563974
3087,568230
3108,572488
3129,576722
3150,580980
3171,585210
3192,589450
3213,593690
3234,597936
3255,602186
3276,606418
3297,610636
3318,614892
3339,619150
3360,623384
3381,627642
3402,631872
3423,636112
3444,640352
3465,644598
3465,644598
3486,648848
3507,653080
3528,657298
3549,661554
3570,665812
3591,670046
3612,671814
3633,671856
3654,671898
3675,671962
3696,672046
3717,672178
3738,672342
3738,672342
3759,672568
3780,672860
3780,672860
3801,673304
3822,673912
3843,674728
3864,675792
3885,677220
3885,677220
3906,679090
3927,681146
3948,683398
3969,686138
3990,689446
3990,689446
4011,693094
4032,696954
4053,700908
4074,705008
4095,709174
4095,709174
4116,713344
4116,713344
4137,717488
4158,721658
4179,725902
4200,730148
4221,734386
4242,738620
4263,742854
4263,742854
4284,747100
4305,751340
4326,755594
4347,759848
4368,764078
4389,768314
