# time,message_loops * LIMIT + total_messages
0,0
0,0
1,4
2,6
3,8
3,8
4,10
4,10
5,12
6,14
7,16
8,18
9,20
10,22
12,22
13,28
14,30
15,32
16,34
17,36
18,38
19,40
20,42
21,44
21,44
23,44
24,50
25,52
25,52
26,54
27,56
28,58
29,60
30,62
31,64
32,66
34,66
35,72
36,74
37,76
38,78
39,80
40,82
41,84
42,86
43,88
45,88
46,94
47,96
47,96
48,98
49,100
49,100
50,108
51,112
52,116
52,116
53,120
54,124
55,128
56,132
57,136
58,140
59,144
61,144
62,156
63,160
64,164
65,168
66,172
67,176
68,180
69,184
69,184
70,188
72,188
73,200
74,204
75,208
76,212
76,212
77,222
78,228
79,234
80,240
81,246
82,256
82,256
83,266
84,274
85,282
86,290
87,296
88,306
89,314
90,322
91,330
92,334
92,334
93,344
94,354
95,362
96,370
97,378
98,384
99,394
100,402
101,410
102,418
103,422
104,432
105,442
106,450
107,458
108,466
109,472
110,482
111,490
112,498
113,506
114,510
115,520
116,530
117,538
118,546
119,554
120,560
121,570
122,578
123,586
124,594
125,598
125,598
126,608
126,608
127,618
128,632
129,642
130,652
131,662
131,662
132,672
132,672
133,682
134,698
135,710
136,718
136,718
137,734
138,742
138,742
139,764
140,778
141,792
142,806
143,820
144,830
145,848
146,862
147,874
147,874
148,890
149,904
149,904
150,926
151,942
152,958
153,974
154,990
155,1002
156,1022
157,1038
158,1052
159,1066
160,1080
160,1080
161,1102
162,1118
163,1140
164,1158
165,1176
166,1190
166,1190
167,1212
168,1230
169,1246
170,1264
171,1278
172,1302
173,1316
174,1338
175,1356
176,1380
177,1398
178,1420
179,1440
180,1458
181,1478
182,1494
183,1520
184,1536
185,1566
186,1586
187,1610
188,1630
189,1654
190,1682
191,1710
192,1736
193,1758
194,1790
195,1812
196,1842
197,1866
198,1894
199,1918
200,1942
201,1968
201,1968
202,1996
203,2022
204,2044
205,2076
206,2098
207,2128
208,2152
209,2180
210,2204
211,2228
212,2254
213,2282
214,2308
215,2330
215,2330
216,2362
217,2384
218,2414
219,2438
220,2466
221,2490
222,2520
223,2548
224,2578
225,2606
225,2606
226,2638
227,2672
228,2698
229,2736
230,2766
231,2794
232,2816
233,2852
234,2882
235,2922
236,2952
237,2990
238,3032
239,3068
240,3112
240,3112
241,3156
242,3196
243,3230
243,3230
244,3278
245,3324
246,3374
247,3414
248,3456
249,3504
250,3550
251,3598
252,3648
253,3694
254,3732
255,3778
255,3778
256,3828
257,3878
258,3920
258,3920
259,3964
260,4016
261,4064
262,4114
262,4114
263,4166
264,4216
265,4264
266,4312
266,4312
267,4364
268,4412
269,4464
270,4508
271,4554
272,4602
273,4652
273,4652
274,4702
