# time,current_number_bots
0,0
0,0
97,0
97,0
170,8
170,8
243,20
243,20
316,42
316,42
389,68
389,68
462,90
462,90
535,96
535,96
608,99
608,99
681,100
681,100
754,99
754,99
836.2854266252834,99
910,100
910,100
1204.034396704752,100
1279,100
1279,100
1352,99
1352,99
1425,100
1425,100
1643,100
1643,100
1760.154382058419,100
1833,99
1833,99
1909.329736978048,99
1983,98
1983,98
2056,97
2056,98
2129,100
2129,100
2308.668290597619,100
2402,100
2402,100
3204,100
3204,100
3277,99
3277,99
3388,99
3388,99
3525,99
3525,99
3598,100
3598,100
3856.401438394794,100
3930,99
3930,99
4003,100
4003,100
4215,100
4215,100
4288,99
4288,99
4361,100
4361,100
4591,100
4591,100
4842,100
4842,100
4915,98
4915,98
4988,100
4988,100
5061,99
5061,99
5134,100
5134,100
5420,100
5420,100
5493,99
5493,99
5566,100
5566,100
5896.077769540949,100
5969,99
5969,99
6042,100
6042,100
6146,100
6146,100
6219,99
6219,99
6292,100
6292,100
6404,100
6404,100
6704,100
6704,100
6777,98
6777,98
6857,98
6857,98
6930,100
6930,100
7043.991920650937,100
7319.169789942214,100
7392,99
7392,99
7537.916128222365,99
7618,99
7618,99
7691,100
7691,100
7764,98
7764,98
7837,99
7837,99
7910,100
7910,100
8008,100
8008,100
8081,99
8081,99
8154,100
8154,100
8872,100
8872,100
8945,99
8945,99
9052,99
9052,99
9125,100
9125,100
9418,100
9418,100
9491,97
9491,97
9637.311319697183,97
9711,100
9711,100
9784,99
9784,99
9857,100
9857,100
9963,100
9963,100
10036,97
10036,97
10109,100
10109,100
11244,100
11244,100
11656,100
11656,100
11729,99
11729,99
11802,100
11802,100
11875,99
11875,99
11948,98
11948,98
12021,100
12021,100
12094,98
12094,98
12167,99
12167,99
12240,100
12240,100
12331,100
12331,100
12434.07841748365,100
12509,100
12509,100
12651,100
12651,100
12724,99
12724,99
12797,100
12797,100
12873.9349081507,100
12947,99
12947,99
13051,99
13051,99
13126,99
13126,99
13199,98
13199,98
13272,99
13272,99
13345,100
13345,100
13506,100
13506,100
13579,99
13579,99
13652,98
13652,98
13725,100
13725,100
13828,100
13828,100
13901,99
13901,99
13974,100
13974,100
14434.28729296429,100
14508,98
14508,98
14581,99
14581,99
14667,99
14667,99
14740,100
14740,100
14813,99
14813,99
14886,100
14886,100
15086.7837294105,100
15160,99
15160,99
15233,100
15233,100
15306,98
15306,98
15445,98
15445,98
15518,99
15518,99
15677,99
15677,99
15750,100
15750,100
15823,99
15823,99
15896,100
15896,100
15976,100
15976,100
16049,99
16049,99
16122,97
16122,97
16195,98
16195,98
16284.97771816087,98
16358,99
16358,99
16431,100
16431,100
16504,99
16504,99
