# time,message_loops * LIMIT + total_messages
0,0
0,0
21,44
42,86
63,128
84,170
105,212
126,254
147,296
168,338
189,380
210,422
231,462
231,462
252,506
273,548
294,590
315,644
336,736
357,862
378,1046
378,1046
399,1268
420,1584
441,1944
462,2362
483,2780
483,2780
504,3254
525,3880
546,4476
546,4476
567,5168
588,6006
609,7024
609,7024
630,8354
651,10034
672,12176
693,14570
714,17132
735,19830
756,22604
777,25646
777,25646
798,28838
819,32240
840,35676
861,39106
882,42422
903,45664
924,48898
924,48898
945,52046
966,55364
966,55364
987,58530
1008,61660
1029,64814
1050,67872
1071,70890
1092,73852
1092,73852
1113,76944
1134,79990
1155,83020
1176,85996
1197,88854
1218,91600
1239,94254
1239,94254
1260,96932
1281,99712
1302,102692
1323,105888
1344,109258
1365,112620
1386,115972
1407,119386
1428,122894
1428,122894
1449,126520
1470,130080
1491,133670
1512,137252
1533,140744
1554,144142
1575,147472
1596,150806
1617,154144
1638,157420
1659,160594
1680,163860
1680,163860
1701,167138
1722,170384
1743,173740
1764,177118
1785,180476
1785,180476
1806,183812
1827,187072
1848,190210
1869,193260
1869,193260
1890,196224
1911,199286
1932,202350
1953,205622
1974,208980
1995,212426
2016,215874
2037,219370
2058,222804
2079,226300
2100,229896
2121,233554
2142,237278
2163,241008
2184,244798
2205,248458
2226,252010
2247,255586
2268,259070
2289,262504
2310,265718
2331,268856
2352,272212
2373,275714
2394,279230
2415,282704
2436,286092
2457,289324
2478,292552
2499,295692
2520,298620
2541,301454
2562,304338
2583,307132
2604,310076
2625,313348
2646,316810
2667,320426
2688,324172
2709,327870
2730,331554
2751,335274
2772,339034
2793,342718
2814,346434
2835,350138
2856,353692
2877,357072
2898,360478
2919,363874
2940,367238
2961,370538
2982,373656
3003,376764
3024,380008
3045,383248
3066,386544
3087,389832
3108,392982
3129,396030
3150,399080
3150,399080
3171,402028
3171,402028
3192,404786
3213,407544
3213,407544
3234,410308
3255,413204
3276,416378
3297,419900
3318,423490
3339,427074
3360,430726
3381,434364
3402,438002
3423,441626
3444,445234
3465,448876
3486,452610
3507,456318
3528,459888
3549,463442
3570,467084
3591,470706
3612,474286
3633,477638
3654,480888
3675,484110
3675,484110
3696,487302
3696,487302
3717,490594
3738,493858
3759,497008
3780,500074
3801,503132
3822,506162
3843,509074
3864,511874
3885,514570
3885,514570
3906,517398
3927,520430
3948,523726
3948,523726
3969,527256
3990,530772
4011,534310
4011,534310
4032,537832
4053,541464
4074,545090
4095,548752
4116,552382
4137,556088
4137,556088
4158,559840
4179,563580
4179,563580
4200,567216
4221,570828
4242,574368
4263,577818
4284,581102
4305,584240
4326,587508
4347,590756
4368,593960
4389,597202
4410,600504
