# time,current_number_bots
0,0
0,0
70,0
70,0
91,4
91,4
112,5
112,5
140,5
140,5
161,6
161,6
182,7
182,7
204,7
204,7
225,8
225,8
246,9
246,9
267,10
267,10
288,8
309,7
309,7
354,7
354,7
375,6
375,7
396,9
396,9
417,11
417,11
438,9
438,9
459,11
459,11
480,12
480,12
501,11
501,11
522,10
522,10
545,10
545,10
566,11
566,11
587,10
587,10
608,11
608,11
637,11
637,11
659,11
659,11
680,15
680,15
701,18
701,18
722,28
722,28
743,29
743,29
764,30
764,30
785,34
785,33
806,30
806,30
827,34
827,34
848,38
848,37
872,37
872,37
893,35
893,35
914,28
914,28
935,32
935,32
960,32
960,32
982,32
982,32
1003,37
1003,37
1024,35
1024,35
1045,38
1045,38
1066,49
1066,49
1087,45
1087,45
1108,42
1108,42
1129,44
1129,44
1150,43
1150,43
1171,42
1171,42
1193,42
1193,42
1214,41
1214,41
1235,45
1235,45
1256,40
1256,40
1277,33
1277,33
1298,40
1298,40
1319,37
1319,37
1340,38
1340,38
1361,42
1361,42
1382,39
1382,39
1403,46
1403,46
1424,54
1424,54
1445,58
1445,56
1466,51
1466,51
1487,57
1487,57
1508,54
1508,55
1529,52
1529,53
1550,54
1550,53
1572,53
1572,53
1593,48
1593,48
1614,44
1614,44
1635,42
1635,42
1656,44
1656,44
1677,48
1677,48
1698,51
1698,51
1719,50
1719,50
1740,47
1740,47
1761,53
1761,53
1782,56
1782,56
1803,62
1803,62
1824,52
1824,52
1845,54
1845,54
1866,53
1866,53
1892,53
1892,53
1913,54
1913,54
1934,49
1934,49
1955,45
1955,45
1976,42
1976,42
1997,37
1997,37
2018,41
2018,41
2040,41
2040,41
2061,42
2061,42
2082,44
2082,44
2103,46
2103,46
2124,52
2124,52
2145,60
2145,60
2166,62
2166,60
2187,58
2187,58
2210,58
2210,58
2231,56
2231,56
2252,54
2252,54
2273,53
2273,53
2294,51
2294,51
2315,49
2315,49
2336,47
2336,47
2357,44
2357,45
2378,47
2378,47
2399,51
2399,51
2420,49
2420,49
2441,55
2441,55
2462,53
2462,53
2483,56
2483,56
2504,62
2504,62
2525,68
2525,67
2546,59
2546,59
2567,57
2567,57
2588,56
2588,56
2612,56
2612,56
2633,50
2633,50
2654,48
2654,48
2675,49
2675,49
2696,44
2696,46
2717,40
2717,40
2738,44
2738,44
2759,47
2759,47
2780,45
2780,46
2801,54
2801,54
2822,50
2822,50
2843,59
2843,59
2864,62
2864,62
2885,60
2885,60
2906,52
2927,50
2927,50
2948,46
2948,47
2969,49
2969,49
2994,49
2994,49
3015,45
3015,45
3036,43
3036,43
3057,41
3057,41
3078,38
3078,39
3103,39
3103,39
3124,41
3124,39
