# time,current_number_bots
0,0
0,0
61,0
61,0
82,2
82,2
120,2
120,2
141,5
141,5
162,6
162,6
183,7
183,7
204,8
204,8
225,11
225,11
246,13
246,13
267,14
267,14
288,18
288,18
309,22
309,22
330,29
330,29
351,35
351,35
372,40
372,40
393,48
393,48
414,55
414,55
435,64
435,64
456,68
456,68
477,72
477,72
498,77
498,77
519,85
519,85
540,87
540,87
561,92
561,92
582,96
582,96
603,97
603,97
624,100
624,100
650,100
650,100
671,99
671,99
708,99
708,99
729,98
729,98
765,98
765,98
786,97
786,97
807,99
807,99
828,98
828,98
891,98
891,98
959,98
959,98
980,97
980,97
1001,96
1001,96
1022,95
1043,96
1043,96
1064,95
1064,95
1095,95
1095,95
1116,96
1116,96
1137,97
1137,97
1158,98
1158,98
1179,96
1179,96
1200,97
1200,97
1221,96
1221,96
1242,98
1242,98
1297,98
1297,98
1318,97
1318,97
1389,97
1389,97
1410,98
1410,98
1431,97
1431,97
1454,97
1454,97
1475,95
1475,95
1503,95
1503,95
1524,93
1524,93
1562,93
1562,93
1583,91
1583,91
1604,92
1604,92
1625,91
1625,91
1648,91
1648,91
1669,92
1669,92
1690,94
1690,94
1727,94
1727,94
1748,93
1748,93
1794,93
1794,93
1819,93
1819,93
1840,95
1840,95
1861,96
1861,96
1903,96
1903,96
1924,98
1924,98
1945,97
1945,97
1970,97
1970,97
1991,98
1991,98
2021,98
2021,98
2042,97
2042,97
2065,97
2065,97
2107,97
2107,97
2128,98
2128,98
2149,97
2149,97
2170,98
2170,98
2191,97
2191,97
2212,96
2212,96
2290,96
2311,95
2311,95
2345,95
2345,95
2366,93
2366,93
2387,94
2387,94
2431,94
2431,94
2452,96
2452,96
2474,96
2474,96
2495,97
2495,97
2521,97
2521,97
2542,99
2542,98
2612,98
2612,98
2644,98
2644,98
2665,96
2665,96
2698,96
2698,96
2719,97
2719,97
2740,98
2740,98
2761,96
2761,96
2787,96
2787,96
2808,97
2808,97
2829,96
2829,96
2850,94
2850,94
2897,94
2897,94
2918,97
2918,97
2951,97
2951,97
2983,97
2983,97
3004,95
3004,95
3025,96
3025,96
3046,95
3046,95
3067,94
3067,94
3088,95
3088,95
3109,97
3109,97
3136,97
3136,97
3157,98
3157,98
3180,98
3180,98
3201,97
3201,97
3231,97
3231,97
3252,96
3252,96
3292,96
3292,96
3313,97
3313,97
3338,97
3338,97
3359,99
3359,99
3412,99
3412,99
3433,97
3433,98
3454,97
3454,97
3475,96
3475,96
3496,97
3496,97
3519,97
3519,97
3540,96
3540,96
3561,95
3561,95
3634,95
3634,95
3655,97
3655,97
3676,98
3676,97
3697,94
3697,94
3723,94
3723,94
3744,93
3744,93
3765,95
