# time,message_loops * LIMIT + total_messages
0,0
0,0
21,44
42,86
63,136
84,228
105,352
126,502
126,502
147,744
168,1008
168,1008
189,1320
210,1694
231,2180
252,2712
252,2712
273,3360
294,4184
315,5150
336,6410
357,7900
357,7900
378,9584
399,11544
420,13852
441,16544
462,19432
483,22488
504,25768
525,29318
525,29318
546,33036
567,36912
588,40968
609,45078
630,49276
651,53514
672,57724
693,61912
714,66100
714,66100
735,70262
756,74392
777,78544
798,82672
819,86850
840,90994
861,95146
882,99300
903,103500
924,107642
945,111806
966,115956
987,120048
987,120048
1008,124142
1029,128218
1050,132296
1071,136320
1092,140346
1092,140346
1113,144386
1134,148478
1155,152584
1176,156688
1197,160790
1218,164896
1239,169026
1260,173184
1281,177344
1302,181506
1323,185662
1344,189782
1365,193906
1386,198012
1407,202156
1428,206316
1449,210424
1470,214478
1491,218522
1512,222536
1533,226482
1554,230418
1554,230418
1575,234332
1596,238224
1617,242110
1638,245970
1659,249876
1680,253780
1680,253780
1701,257758
1722,261752
1743,265752
1764,269712
1785,273648
1806,277570
1827,281588
1848,285614
1869,289682
1869,289682
1890,293758
1911,297868
1932,302022
1953,306142
1974,310274
1995,314426
2016,318560
2037,322686
2058,326808
2079,330912
2100,335038
2121,339148
2142,343300
2142,343300
2163,347436
2184,351588
2205,355700
2205,355700
2226,359772
2247,363838
2268,367916
2289,371992
2310,376020
2331,380068
2352,384074
2373,388056
2394,392046
2415,396032
2436,400030
2457,404100
2478,408168
2499,412276
2520,416406
2541,420582
2562,424736
2583,428898
2604,433064
2625,437226
2646,441376
2667,445466
2688,449540
2709,453656
2730,457756
2751,461908
2772,465992
2772,465992
2793,470052
2793,470052
2814,474118
2835,478204
2856,482208
2877,486200
2898,490198
2919,494258
2940,498372
2961,502468
2982,506606
3003,510642
3024,514696
3045,518746
3066,522770
3087,526778
3108,530860
3129,534974
3150,539120
3171,543270
3192,547388
3213,551526
3234,555642
3255,559708
3276,563788
3297,567876
3318,571996
3339,576116
3360,580290
3360,580290
3381,584498
3402,588688
3423,592838
3444,596998
3444,596998
3465,601132
3486,605224
3507,609344
3528,613440
3549,617512
3570,621546
3591,625564
3612,629602
3633,633628
3654,637750
3675,641902
3696,646014
3717,649994
3738,653942
3759,657910
3780,661924
3801,665974
3822,670118
3843,674258
3864,678426
3885,682520
3885,682520
3906,686580
3927,690580
3948,694534
3969,698440
3990,702380
4011,706258
4032,710164
4053,714144
4074,718112
4095,722120
4116,726102
4116,726102
4137,730118
4158,734160
4179,738206
4200,742290
4221,746366
4242,750484
4263,754596
4284,758712
4305,762810
4326,766914
4347,771022
4368,775162
4389,779288
4410,783390
4410,783390
4431,787506
4452,791586
