# time,current_number_bots
0,0
0,0
56,0
56,0
58,1
58,1
79,1
79,1
81,3
81,3
83,4
83,4
89,4
89,4
91,5
91,5
104,5
104,5
106,7
106,7
108,8
108,8
110,9
110,9
113,9
113,9
115,10
115,10
117,11
117,11
133,11
133,11
135,13
135,13
140,13
140,13
142,14
142,14
147,14
147,14
149,15
149,15
152,15
152,15
154,16
154,16
156,18
156,18
163,18
163,18
165,19
165,19
167,20
167,20
169,22
169,22
179,22
179,22
181,23
181,23
187,23
187,23
189,24
189,24
200,24
200,24
202,26
202,26
204,27
204,27
210,27
210,27
212,29
212,29
214,30
214,30
216,31
216,31
221,31
221,31
223,35
223,35
225,36
225,36
227,37
227,37
229,39
229,39
232,39
232,39
234,40
234,40
236,41
236,41
238,42
238,42
241,42
241,42
243,44
243,44
247,44
247,44
249,50
249,50
251,51
251,51
253,53
253,53
259,53
259,53
261,55
261,55
263,56
263,56
266,56
266,56
268,57
268,57
270,60
270,60
272,61
272,61
274,62
274,62
276,63
276,63
278,65
278,65
285,65
285,65
287,67
287,67
290,67
290,67
292,68
292,68
296,68
296,68
298,70
298,70
300,71
300,71
303,71
303,71
305,74
305,74
307,75
307,75
320,75
320,75
322,78
322,78
328,78
328,78
330,79
330,79
334,79
334,79
336,83
336,83
338,84
338,84
343,84
343,84
345,85
345,85
352,85
352,85
354,87
354,87
361,87
361,87
363,88
363,88
366,88
366,88
368,89
368,89
370,90
370,90
389,90
389,90
391,91
391,91
403,91
403,91
405,92
405,92
434,92
434,92
436,93
436,93
442,93
442,93
444,94
444,94
458,94
458,94
460,96
460,96
506,96
506,96
508,97
508,97
513,97
513,97
515,98
515,98
539,98
539,98
541,99
541,99
631,99
631,99
631,100
