# time,message_loops * LIMIT + total_messages
0,0
0,0
2,6
4,10
6,14
8,18
10,22
12,26
14,30
16,34
18,38
20,42
22,44
22,44
24,50
26,54
28,64
30,72
32,80
34,88
34,88
36,104
38,114
40,128
42,140
44,152
46,164
48,176
50,188
52,200
54,212
56,220
56,220
58,236
60,246
60,246
62,260
64,272
66,292
68,314
70,342
72,372
74,400
76,428
78,452
80,484
82,514
82,514
84,552
86,582
88,616
90,646
92,680
94,720
96,756
98,792
100,834
102,874
102,874
104,920
106,976
108,1022
110,1072
112,1120
114,1166
116,1216
118,1264
120,1308
122,1366
124,1414
126,1464
128,1524
130,1574
132,1628
134,1688
136,1750
138,1818
140,1882
142,1946
144,2020
146,2084
148,2152
148,2152
150,2226
152,2292
154,2360
156,2430
158,2494
160,2566
162,2638
164,2706
166,2784
168,2852
170,2926
172,3002
174,3072
176,3144
178,3218
180,3286
182,3368
184,3444
186,3516
188,3598
190,3672
192,3750
194,3828
196,3902
198,3984
200,4066
202,4146
204,4232
206,4324
208,4404
210,4502
212,4594
214,4698
216,4796
218,4890
220,4988
222,5092
224,5186
226,5294
228,5408
230,5510
232,5630
234,5756
236,5880
238,6010
240,6144
242,6308
244,6472
246,6628
248,6798
250,6964
252,7132
254,7302
254,7302
256,7476
258,7656
260,7848
262,8032
264,8220
266,8432
268,8644
270,8866
272,9106
274,9354
276,9600
278,9854
280,10108
282,10368
284,10624
286,10886
288,11180
290,11460
292,11762
294,12058
296,12370
298,12680
300,13016
302,13358
302,13358
304,13708
306,14048
308,14386
310,14776
312,15150
314,15526
316,15916
318,16322
320,16720
322,17162
324,17594
326,18046
328,18494
330,18944
332,19442
334,19948
336,20454
338,20974
340,21498
342,22010
344,22548
346,23098
348,23670
350,24230
352,24758
354,25390
356,25972
358,26568
360,27186
360,27186
362,27806
364,28394
366,29040
368,29672
370,30342
372,31008
374,31644
376,32360
378,33054
380,33766
382,34490
384,35232
386,35926
386,35926
388,36688
390,37436
392,38238
394,39036
396,39850
396,39850
398,40724
400,41596
402,42472
404,43356
404,43356
406,44268
408,45162
410,46128
412,47070
412,47070
414,48046
416,48992
418,49946
418,49946
420,50942
422,51952
424,52950
424,52950
426,53956
428,54996
430,55990
432,57026
434,58070
436,59164
438,60178
440,61262
442,62354
444,63462
446,64552
448,65670
450,66826
452,67944
454,69114
456,70286
458,71512
460,72672
462,73912
464,75124
466,76392
468,77616
470,78908
472,80200
474,81472
474,81472
476,82768
478,84074
480,85430
482,86728
484,88110
486,89504
488,90918
490,92294
490,92294
492,93720
494,95162
496,96606
498,98078
500,99512
502,101006
504,102438
506,103916
508,105464
510,107006
512,108478
512,108478
514,110046
516,111666
516,111666
518,113240
520,114870
522,116482
524,118090
524,118090
526,119694
526,119694
528,121322
530,122976
532,124646
534,126264
536,127890
538,129584
538,129584
540,131228
542,132932
544,134632
546,136358
548,138028
550,139738
552,141462
554,143228
556,144936
558,146666
558,146666
560,148444
562,150188
564,151964
566,153734
566,153734
568,155556
570,157322
572,159100
574,160906
576,162764
578,164542
580,166354
582,168214
584,170030
586,171872
586,171872
588,173690
590,175558
592,177370
594,179204
596,181040
598,182930
600,184740
602,186588
604,188458
606,190292
608,192152
610,193996
612,195892
614,197738
616,199602
618,201490
620,203414
622,205250
624,207148
624,207148
626,209042
628,210932
630,212832
632,214724
634,216652
636,218536
636,218536
638,220412
640,222314
640,222314
642,224282
642,224282
644,226134
646,228068
648,229984
650,231900
652,233812
652,233812
654,235742
654,235742
656,237682
658,239594
660,241512
662,243436
664,245428
666,247312
668,249272
670,251198
672,253168
674,255098
676,257044
678,258996
680,260926
682,262832
684,264782
686,266794
688,268688
690,270664
692,272608
694,274572
696,276522
698,278478
698,278478
700,280440
702,282394
704,284312
706,286264
708,288284
710,290188
712,292172
714,294124
716,296110
718,298070
720,300046
722,302014
724,303984
726,305916
728,307878
728,307878
730,309910
732,311830
734,313820
736,315768
738,317764
740,319728
742,321710
744,323680
746,325654
748,327586
750,329556
752,331592
754,333524
756,335522
758,337478
760,339476
762,341446
764,343430
766,345404
768,347382
770,349326
772,351304
774,353346
776,355290
778,357294
780,359258
782,361266
784,363242
786,365232
788,367226
790,369212
792,371164
794,373150
796,375198
798,377146
800,379152
802,381120
804,383132
806,385116
808,387112
810,389110
812,391102
814,393056
816,395042
818,397098
820,399050
822,401062
824,403032
826,405050
828,407028
830,409024
832,411022
834,413014
836,414968
838,416956
840,419022
842,420976
844,422992
846,424968
848,426986
850,428970
852,430970
852,430970
854,432972
856,434968
858,436934
860,438926
862,440994
864,442952
866,444972
868,446948
870,448976
872,450962
872,450962
874,452966
876,454972
878,456970
880,458934
882,460926
882,460926
884,462994
886,464952
886,464952
888,466972
890,468948
892,470976
894,472962
896,474966
896,474966
898,476972
900,478970
902,480934
904,482926
906,484994
908,486952
910,488972
912,490948
914,492976
916,494962
918,496966
918,496966
920,498972
922,500970
924,502934
926,504926
928,506994
930,508952
932,510972
934,512948
936,514976
938,516962
940,518966
942,520972
944,522970
946,524934
946,524934
948,526926
950,528994
952,530952
954,532972
956,534948
958,536976
960,538962
962,540966
964,542972
966,544970
968,546934
970,548926
972,550994
974,552952
976,554972
976,554972
978,556948
978,556948
980,558976
980,558976
982,560962
984,562966
986,564972
988,566970
990,568934
992,570418
992,570418
