# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
0.9274111618287861,8
1.622353838058189,12
2.598624812206253,14
3.526284138904884,16
4.504722459008917,20
4.910202983301133,22
6.093731694156304,22
7,30
7,30
8,34
8,34
8.728990164832233,40
9.42665227666965,42
10.39689340048006,48
11.0877175182244,50
12.07080867585262,52
13,56
13,56
14,58
14,58
14.96236601392346,62
15.78404059367793,66
15.78404059367793,66
16.45408725891802,70
17.1136203644758,72
18.18575946907121,78
19,80
19,80
19.90304643839394,82
21,86
21,86
22.11799315611036,92
23,94
23,94
23.85995908182495,98
24.31384157047988,100
25.34341153393881,104
26.16447220890232,108
27.04677886430555,110
28.21905122169674,110
29.30781427941666,118
30.16102553329812,120
31.25330541756385,124
32.23376589695373,126
33.15614872991855,128
33.84828364902923,130
34.63878202887999,132
35.74007209094989,136
36.84815546225573,142
37.88985428000716,148
39.03682040023534,152
40.20055314848116,154
40.20055314848116,154
41.06760544582186,166
42.1834789992603,170
43.20758260095627,174
44.03942302924716,176
45.14921340470337,180
45.97961525137671,182
47.00371956172382,186
47.87716780439002,188
48.67228578123247,190
49.48307329904271,196
50.1825059594026,198
50.1825059594026,198
51,202
51,202
51.93952859946074,208
52.82710054245324,216
53.49320518862003,218
54.44493719012024,220
54.44493719012024,220
55.27428055515991,224
56.25765311819048,226
56.80112121169002,228
57.49028495218152,230
58.17000904873492,232
58.87545715792583,236
59.48537291524479,238
60.30645626837866,240
61.05939507958026,246
62,250
62,250
62.80453318258047,252
63.25597036693476,254
64.09508491615171,256
65.03705203864129,262
66.20720463227818,264
66.20720463227818,264
67.27234492223116,272
68.21671451190824,278
69.36151505592616,282
70.49049334675411,286
71.33034862373361,290
72.32667644746007,294
72.78916646731423,296
73.65320766163396,298
74.77972005289385,302
75.59479058478433,306
76.58376622656766,308
76.58376622656766,308
77.42848924305696,312
78.13152889456074,314
79.11516546379249,316
80,318
80,318
81.05535098237526,322
81.99570199872907,328
82.99069185953196,330
82.99069185953196,330
84.08082898079958,338
84.90491899920237,342
86,344
86,344
86.95499781856282,350
87.87733592476664,352
88.97669740521317,358
90.07617559690928,366
91,368
91,368
91.93280764037443,378
92.79138708367644,382
93.66037567049896,384
94.58394023846041,386
94.99810887919877,388
95.77440385590445,390
96.75577532034505,394
97.5708239956307,396
98.55592114478488,398
99.34717469988529,400
100.1253284688587,402
101,404
101,404
101.5503522538993,406
102.303951043351,408
102.9223093026731,410
104.0412929697878,412
104.0412929697878,412
105.1966188187153,428
105.8898912657058,432
106.5200930035036,436
107.3466190772606,440
108.4903739229337,448
109.6191930431032,456
110.8331807049894,456
111.5154276079439,466
