# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
1,4
2,6
3,8
4,10
5,12
5,12
6,14
7,16
8,18
9,20
10,22
12,22
13,28
14,30
15,32
16,34
17,36
18,38
19,40
20,42
21,44
23,44
24,50
25,52
26,54
27,56
27,56
28,58
29,60
30,62
31,64
32,66
32,66
34,66
35,72
36,74
37,76
38,78
39,80
40,82
41,84
42,86
43,88
45,88
46,94
47,96
48,98
49,100
50,102
51,104
52,106
53,108
54,110
56,110
57,116
57,116
58,118
59,120
60,122
61,124
62,126
63,128
64,130
64,130
65,132
67,132
68,138
69,140
70,142
71,144
72,146
73,148
74,150
75,152
76,154
78,154
79,160
80,162
81,164
82,166
83,168
84,170
85,172
86,174
87,176
89,176
90,182
91,184
91,184
92,186
93,188
94,190
95,192
96,194
97,196
98,198
100,198
101,204
102,206
103,208
103,208
104,210
105,212
106,214
107,216
108,218
109,220
111,220
112,226
113,228
114,230
115,232
116,234
117,236
118,238
119,240
120,242
122,242
123,248
124,250
124,250
125,254
126,256
127,258
128,260
128,260
129,264
130,266
130,266
131,268
132,270
133,272
134,274
135,276
136,278
137,280
138,282
140,282
141,288
142,290
143,292
144,294
145,300
146,304
147,308
148,312
149,316
150,318
150,318
151,324
152,328
152,328
153,334
154,338
155,340
156,346
157,350
158,354
159,358
160,362
160,362
161.3988840578352,368
161.3988840578352,368
162.3988840578352,376
163.3988840578352,382
164.3988840578352,388
165.3988840578352,396
166.3988840578352,402
167.3988840578352,408
168.3988840578352,414
169.3988840578352,420
170.3988840578352,426
170.3988840578352,426
171.3988840578352,432
172.3988840578352,440
173.3988840578352,446
174.3988840578352,452
175.3988840578352,456
176.3988840578352,464
177.3988840578352,470
178.3988840578352,476
179.3988840578352,482
180.3988840578352,488
181.3988840578352,496
181.3988840578352,496
182.3988840578352,504
183.3988840578352,514
184.3988840578352,522
185.3988840578352,530
186.3988840578352,536
187.3988840578352,546
188.3988840578352,554
189.3988840578352,562
190.3988840578352,570
191.3988840578352,576
192.3988840578352,584
192.3988840578352,584
193.3988840578352,592
194.3988840578352,602
195.3988840578352,610
195.3988840578352,610
196.3988840578352,620
197.3988840578352,626
198.5814452742581,636
198.5814452742581,636
200,654
201.3988840578352,666
202.5814452742581,676
204,692
204,692
205.3988840578352,706
206.5814452742581,716
208,732
209.3988840578352,746
210.5814452742581,758
212,774
213.3988840578352,788
214.5814452742581,804
216,824
217.3988840578352,836
217.3988840578352,836
218.5814452742581,852
220,872
221.3988840578352,884
222.5814452742581,900
224,918
225.3988840578352,934
226.5814452742581,946
228,968
229.3988840578352,982
230.5814452742581,998
232,1024
233.3988840578352,1042
