# time,message_loops * LIMIT + total_messages
0,0
0,0
105,930
210,4228
315,12068
420,26644
525,45432
630,65372
735,85742
840,106810
945,127814
1050,148680
1155,169384
1260,190122
1365,210734
1365,210734
1470,231324
1575,252210
1680,273394
1785,294600
1890,315808
1995,337028
2100,358182
2205,379166
2310,400174
2415,421214
2520,442164
2625,462964
2730,483644
2835,504094
2940,524696
3045,545282
3150,566040
3255,586502
3360,606852
3465,627244
3570,647882
3675,668670
3780,689568
3885,710418
3990,731302
4095,751876
4200,772534
4305,793330
4305,793330
4410,814336
4515,835456
4620,856466
4725,877312
4830,898112
4830,898112
4935,919072
5040,940020
5145,960998
5250,981922
5250,981922
5355,1002752
5460,1023762
5565,1044748
5670,1065778
5775,1086996
5880,1108186
5985,1129352
6090,1150266
6195,1171044
6195,1171044
6300,1191672
6405,1212186
6510,1232658
6615,1253396
6615,1253396
6720,1274038
6825,1294748
6930,1315248
7035,1335396
7140,1355658
7245,1376564
7350,1397544
7455,1418390
7455,1418390
7560,1438974
7665,1459504
7770,1479996
7875,1500740
7980,1521140
8085,1541736
8190,1562166
8295,1582802
8400,1603644
8505,1624778
8610,1645784
8715,1666704
8820,1687506
8925,1708508
9030,1729608
9135,1750810
9240,1771930
9240,1771930
9345,1792650
9450,1813194
9555,1833588
9660,1854232
9765,1875318
9765,1875318
9870,1896528
9975,1917734
10080,1938948
10185,1959874
10185,1959874
10290,1980666
10395,2001494
10500,2022486
10605,2043622
10710,2064826
10815,2086018
10920,2106912
11025,2127704
11025,2127704
11130,2148308
11235,2169092
11340,2189848
11340,2189848
11445,2210614
11550,2231408
11655,2252196
11760,2273246
11865,2294456
11970,2315470
12075,2336272
12180,2357066
12285,2378062
12390,2399284
12390,2399284
12495,2420488
12600,2441660
12705,2462614
12810,2483072
12915,2503440
13020,2523860
13125,2544548
13230,2565064
13335,2585532
13440,2605976
13440,2605976
13545,2626692
13650,2647242
13650,2647242
13755,2667750
13860,2688154
13965,2708632
14070,2729016
14175,2749268
14280,2769898
14385,2790724
14490,2811726
14595,2832570
14700,2853450
14805,2874452
14910,2895532
15015,2916528
15120,2937476
15225,2958264
15330,2978848
15435,2999610
15435,2999610
15540,3020398
15645,3041406
15750,3062406
15855,3083558
15960,3104768
16065,3125910
16170,3146474
16275,3166670
16380,3186492
16485,3206698
16590,3227128
16695,3247788
16695,3247788
16800,3268376
16905,3288610
17010,3308996
17115,3329590
17220,3350242
17325,3371038
17430,3391770
17535,3412728
17640,3433618
17745,3454508
17850,3475306
17955,3495924
18060,3516626
18165,3537410
18270,3558478
18375,3579684
18480,3600894
18585,3622034
18690,3642974
18795,3663472
18900,3683848
19005,3704252
19110,3724984
