# time,current_number_bots
0,0
0,0
206,30
206,30
412,73
412,73
618,84
618,84
824,80
824,80
1030,86
1030,86
1236,87
1236,86
1442,89
1442,89
1648,90
1648,90
1887,90
1887,90
2093,92
2093,92
2299,93
2299,93
2561,93
2561,93
2767,90
2767,90
2973,88
2973,88
3182,88
3182,88
3388,87
3388,87
3594,89
3594,89
3800,91
3800,91
4006,87
4006,87
4212,91
4212,91
4418,92
4418,92
4624,90
4624,90
4830,89
4830,89
5036,87
5036,87
5301,87
5301,87
5507,90
5507,90
5713,91
5713,91
5919,90
5919,90
6243,90
6243,90
6449,94
6449,94
6655,99
6655,99
6861,95
6861,95
7067,87
7067,87
7273,83
7273,83
7479,78
7479,78
7685,86
7685,86
7891,89
7891,89
8097,91
8097,91
8303,89
8303,89
8509,91
8509,91
8715,94
8715,94
8984,94
8984,94
9190,92
9190,92
9396,88
9396,88
9602,86
9602,86
9832,86
9832,86
10038,91
10038,91
10244,90
10244,90
10450,91
10450,91
10656,89
10656,89
10862,92
10862,92
11068,89
11068,89
11274,88
11274,88
11480,89
11480,89
11686,88
11686,88
11892,90
11892,90
12098,91
12098,91
12311,91
12311,91
12517,90
12517,90
12735,90
12735,90
12941,91
12941,91
13147,96
13147,96
13353,98
13353,98
13559,90
13559,90
13765,87
13765,87
13971,78
13971,78
14177,85
14177,85
14383,88
14383,88
14590,88
14590,88
14796,91
14796,90
15083,90
15083,90
15289,93
15289,93
15515,93
15515,93
15761,93
15761,93
15967,89
15967,89
16173,88
16173,88
16382,88
16382,88
16588,87
16588,87
16794,88
16794,88
17000,90
17000,90
17206,89
17206,89
17412,90
17412,90
17618,92
17618,92
17824,90
17824,90
18030,89
18030,89
18236,87
18236,87
18442,89
18442,89
18648,91
18648,91
18854,92
18854,92
19060,88
19060,88
19266,89
19266,89
19472,91
19472,91
19678,95
19678,95
19884,99
19884,99
20090,95
20090,95
20296,87
20296,87
20502,82
20502,82
20708,80
20708,80
20914,85
20914,85
21120,87
21120,87
21326,91
21326,91
21532,89
21532,89
21738,93
21738,93
21944,94
21944,94
22150,95
22150,95
22356,93
22356,93
22562,90
22562,90
22768,88
22768,88
22982,88
22982,88
23188,87
23188,87
23394,88
23394,88
23600,89
23600,89
23806,88
23806,88
24012,91
24012,91
24218,93
24218,93
24424,88
24424,88
24643,88
24643,88
24849,85
24849,85
25055,87
25055,87
25261,89
25261,89
25467,91
25467,91
25692,91
25692,91
25898,90
25898,90
26104,92
26104,92
26310,96
26310,96
26516,99
26516,99
26722,92
26722,92
26928,87
26928,87
27134,79
27134,79
27345,79
27345,79
27551,88
27551,88
27757,90
27757,90
27963,91
27963,90
28169,88
28169,88
28375,91
