# time,current_number_bots
0,0
0,0
206,8
206,8
412,48
412,48
618,93
618,93
824,99
824,99
1142,99
1142,99
1348,100
1348,100
1554,99
1554,99
1760,98
1760,98
2187,98
2187,98
2646,98
2646,98
2852,97
2852,97
3058,99
3058,99
3264,98
3264,98
3671,98
3671,98
3914,98
3914,98
4120,96
4120,96
4326,94
4326,94
4532,95
4532,95
4738,96
4738,96
4944,98
4944,98
5150,99
5150,99
5952,99
5952,99
6158,100
6158,100
6715,100
6715,100
6921,98
6921,98
7329,98
7329,98
7535,100
7535,100
8280,100
8280,100
8486,97
8486,97
8908,97
8908,97
9114,98
9114,98
9320,100
9320,100
10927,100
10927,100
11133,99
11133,99
11339,98
11339,98
11612,98
11612,98
11818,99
11818,99
12242,99
12242,99
12448,97
12448,97
12654,98
12654,98
12860,97
12860,97
13107,97
13107,97
13313,98
13313,98
13519,99
13519,99
13725,100
13725,100
15248,100
15248,100
15454,99
15454,99
15998,99
15998,99
16204,100
16204,100
16984,100
16984,100
17190,99
17190,99
17650,99
17650,99
17856,100
17856,100
21165,100
21165,100
21371,98
21371,98
21626,98
21626,98
21832,96
21832,97
22111,97
22111,97
22317,99
22317,99
22523,100
22523,100
22937,100
22937,100
23143,99
23143,99
23349,98
23349,98
23639,98
23639,98
23845,100
23845,100
24509,100
24509,100
24715,99
24715,99
25183,99
25183,99
25389,100
25389,99
25595,98
25595,98
26045,98
26045,98
26251,100
26251,100
26457,99
26457,99
27130,99
27130,99
27336,100
27336,100
27542,99
27542,99
27748,98
27748,98
28067,98
28067,98
28273,99
28273,99
28852,99
28852,99
29058,100
29058,100
29796,100
29796,100
30002,99
30002,99
30208,98
30208,98
30428,98
30428,98
30782,98
30782,98
30988,99
30988,99
31194,100
31194,100
31667,100
31667,100
31873,98
31873,98
32322,98
32322,98
32528,99
32528,99
32940,99
32940,99
33146,100
33146,100
34719,100
34719,100
34925,99
34925,99
35175,99
35175,99
35381,97
35381,97
35587,98
35587,98
35836,98
35836,98
36042,99
36042,99
36248,100
36248,100
38095,100
38095,100
38301,98
38301,98
38709,98
38709,98
39246,98
39246,98
39452,97
39452,97
39658,99
39658,99
39864,98
39864,99
40070,98
40070,98
40276,97
40276,97
40572,97
40572,97
40778,96
40778,96
40984,95
40984,95
41257,95
41257,95
41463,97
41463,97
41669,99
41669,99
41875,98
41875,98
42081,99
42081,99
42433,99
42433,99
42639,100
42639,100
43315,100
43315,100
43521,98
43521,98
43921,98
43921,98
44127,100
44127,100
44880,100
44880,100
45086,97
45086,97
45536,97
45536,97
45742,100
45742,100
47527,100
47527,100
47733,99
47733,99
47939,98
47939,98
48216,98
48216,98
48422,99
48422,99
48842,99
