# time,message_loops * LIMIT + total_messages
0,0
0,0
206,730
412,9384
618,40932
824,81096
1030,121910
1236,162870
1442,204080
1648,244862
1854,285246
2060,325618
2060,325618
2266,365886
2472,406096
2678,446412
2884,486430
2884,486430
3090,527126
3296,567842
3502,608228
3708,648540
3914,688654
3914,688654
4120,728926
4326,768414
4532,807478
4738,846886
4944,886586
5150,926994
5150,926994
5356,967528
5562,1008330
5768,1049102
5974,1089956
6180,1131132
6386,1172356
6592,1213552
6798,1254572
7004,1295058
7004,1295058
7210,1335432
7416,1376004
7622,1417056
7828,1458268
7828,1458268
8034,1499452
8240,1540668
8240,1540668
8446,1581282
8652,1621286
8858,1661238
9064,1701512
9270,1742324
9476,1783520
9682,1824742
9888,1865922
10094,1907134
10300,1948320
10506,1989536
10712,2030710
10712,2030710
10918,2071932
11124,2112728
11330,2153370
11536,2193750
11536,2193750
11742,2234388
11948,2275058
12154,2315826
12360,2356386
12566,2396460
12772,2436850
12978,2476918
13184,2517038
13390,2557412
13596,2598008
13802,2639146
14008,2680346
14214,2721558
14420,2762752
14626,2803958
14832,2845144
15038,2886356
15244,2927538
15450,2968348
15656,3009130
15862,3049902
16068,3090854
16274,3132056
16480,3173266
16686,3214462
16892,3255668
17098,3296616
17304,3337422
17510,3378192
17716,3419126
17922,3460326
18128,3501512
18334,3542726
18540,3583932
18746,3625138
18952,3666334
19158,3707540
19364,3748718
19570,3789936
19776,3831118
19982,3872326
20188,3913526
20394,3954712
20600,3995926
20806,4037132
21012,4078338
21218,4119428
21424,4160078
21630,4200424
21836,4240126
22042,4280074
22248,4320322
22454,4361072
22660,4402254
22660,4402254
22866,4443466
23072,4484408
23278,4525094
23484,4565470
23690,4605956
23896,4646860
24102,4688076
24308,4729266
24514,4770436
24720,4811246
24720,4811246
24926,4852014
25132,4892816
25132,4892816
25338,4933932
25544,4974632
25750,5015002
25956,5055382
26162,5096126
26162,5096126
26368,5137344
26574,5178292
26780,5219056
26986,5259866
27192,5300766
27192,5300766
27398,5341976
27604,5382836
27810,5423216
28016,5463586
28222,5504208
28428,5544958
28428,5544958
28634,5585770
28840,5626552
29046,5667708
29252,5708934
29458,5750116
29664,5791328
29870,5832390
30076,5873156
30282,5913524
30488,5954026
30694,5994400
30900,6035042
31106,6075824
31312,6116838
31518,6158064
31724,6199132
31930,6239552
32136,6279930
32342,6320270
32548,6360836
32754,6401622
32960,6442436
32960,6442436
33166,6483656
33372,6524854
33578,6566026
33784,6607260
33784,6607260
33990,6648438
34196,6689652
34402,6730856
34608,6772060
34814,6813064
35020,6853850
35226,6894518
35432,6934806
35638,6975078
35844,7015460
36050,7056276
36256,7097448
36462,7138658
36668,7179866
