# time,message_loops * LIMIT + total_messages
0,0
0,0
14,74
28,154
28,154
42,260
56,372
70,512
84,654
98,794
112,970
112,970
126,1204
140,1474
154,1848
168,2310
182,2898
196,3628
210,4554
224,5640
238,6826
252,8074
266,9482
280,11042
294,12712
294,12712
308,14478
322,16364
336,18392
350,20546
364,22756
364,22756
378,25192
392,27778
406,30390
420,33074
434,35766
448,38478
462,41150
476,43856
490,46606
504,49346
518,52116
532,54894
546,57648
560,60370
574,63192
588,66008
602,68852
616,71668
630,74496
644,77326
658,80156
672,82976
686,85810
700,88648
714,91450
728,94300
742,97116
742,97116
756,99960
770,102776
784,105604
798,108422
812,111248
826,114040
840,116846
854,119652
868,122454
882,125296
896,128116
910,130960
924,133778
938,136578
952,139376
966,142180
980,144974
994,147780
1008,150584
1022,153388
1036,156230
1050,159052
1064,161894
1078,164712
1078,164712
1092,167540
1106,170366
1120,173198
1120,173198
1134,176016
1148,178854
1162,181686
1176,184496
1190,187338
1190,187338
1204,190160
1218,193002
1232,195820
1246,198648
1260,201458
1260,201458
1274,204262
1288,207052
1302,209862
1316,212666
1330,215478
1344,218322
1358,221142
1358,221142
1372,223984
1386,226804
1400,229632
1414,232456
1428,235282
1442,238106
1456,240944
1456,240944
1470,243776
1484,246586
1498,249430
1512,252250
1526,255092
1540,257912
1554,260740
1568,263564
1582,266354
1596,269148
1610,271972
1624,274808
1638,277620
1652,280458
1666,283254
1680,286062
1694,288856
1708,291658
1722,294452
1736,297248
1750,300048
1764,302852
1778,305660
1792,308444
1806,311258
1820,314066
1834,316902
1834,316902
1848,319706
1848,319706
1862,322492
1876,325258
1890,328026
1904,330802
1918,333576
1932,336356
1946,339132
1960,341968
1974,344800
1988,347636
2002,350458
2016,353284
2030,356112
2030,356112
2044,358936
2058,361768
2072,364596
2086,367432
2100,370238
2114,373076
2128,375908
2128,375908
2142,378690
2156,381456
2156,381456
2170,384226
2184,387020
2198,389836
2212,392666
2226,395500
2240,398332
2254,401138
2268,403978
2282,406808
2296,409640
2310,412466
2310,412466
2324,415292
2338,418120
2352,420944
2366,423774
2380,426608
2394,429440
2408,432244
2422,435056
2436,437882
2450,440700
2464,443504
2478,446306
2478,446306
2492,449104
2506,451898
2520,454700
2534,457532
2548,460368
2562,463174
2576,466014
2590,468846
2604,471670
2618,474506
2618,474506
2632,477328
2646,480158
2660,482980
2674,485812
2688,488640
2688,488640
2702,491466
2716,494244
2730,497056
2730,497056
2744,499860
2758,502656
2772,505488
2786,508308
2800,511138
2814,513922
2828,516678
2842,519440
2856,522228
2870,525012
2884,527814
2898,530618
2912,533414
2926,536228
2940,539024
2954,541834
2954,541834
2968,544658
2982,547488
2996,550318
