# time,current_number_bots
0,0
0,0
311,0
311,0
332,1
332,1
353,2
353,2
374,4
374,4
397,4
397,4
418,8
418,8
439,7
439,7
460,9
460,9
498,9
498,9
519,13
519,13
541,13
541,13
562,16
562,16
583,20
583,20
604,23
604,23
625,31
625,31
646,41
646,41
667,52
667,52
688,58
688,57
709,61
709,61
730,63
730,63
751,64
751,64
772,72
772,72
793,76
793,75
814,80
814,80
835,81
835,81
856,79
856,79
877,78
877,78
898,76
898,76
919,75
919,75
940,72
940,72
961,80
961,80
982,73
982,73
1005,73
1005,73
1026,74
1026,74
1047,71
1047,71
1068,70
1068,70
1089,71
1089,71
1110,73
1110,72
1135,72
1135,72
1156,71
1156,71
1177,66
1177,66
1199,66
1199,66
1220,63
1220,63
1241,62
1241,62
1262,63
1262,63
1283,67
1283,67
1304,73
1304,73
1325,78
1325,78
1346,80
1346,80
1368,80
1368,80
1389,79
1389,79
1410,82
1410,81
1431,85
1431,84
1452,85
1452,85
1473,84
1473,84
1494,85
1494,85
1515,83
1515,83
1536,81
1536,81
1557,79
1557,79
1578,78
1578,78
1600,78
1600,78
1622,78
1622,78
1643,73
1643,74
1664,76
1664,76
1685,77
1685,77
1706,75
1706,75
1727,79
1727,79
1748,80
1748,80
1769,79
1769,80
1790,79
1790,79
1811,76
1811,76
1832,75
1832,75
1853,71
1853,71
1874,68
1874,69
1895,71
1895,71
1916,72
1916,72
1937,74
1937,74
1958,79
1958,79
1979,81
1979,81
2000,80
2000,80
2021,82
2021,82
2042,80
2042,80
2063,81
2063,81
2084,84
2084,84
2108,84
2108,84
2129,87
2129,87
2150,88
2150,88
2171,89
2171,89
2192,87
2192,87
2213,84
2213,84
2239,84
2239,84
2260,81
2260,81
2281,82
2281,82
2302,75
2302,75
2323,73
2323,73
2344,78
2344,78
2365,82
2365,82
2386,83
2386,82
2410,82
2410,82
2431,78
2431,78
2452,76
2452,76
2473,75
2473,75
2494,72
2494,72
2515,67
2515,67
2536,66
2536,66
2557,67
2557,67
2578,65
2578,65
2599,69
2599,69
2620,78
2620,78
2641,83
2641,83
2662,86
2662,86
2683,88
2683,88
2704,86
2704,87
2730,87
2730,87
2751,86
2751,86
2772,89
2772,89
2793,86
2793,86
2814,88
2814,88
2835,85
2835,85
2856,81
2856,81
2877,80
2877,80
2899,80
2899,80
2920,79
2920,79
2942,79
2942,79
2963,73
2963,73
2999,73
2999,73
3020,77
3020,77
3041,76
3041,76
3062,77
3062,77
3083,76
3083,76
3104,73
3104,74
3125,71
3146,72
3146,72
3167,66
3167,66
3188,64
3188,64
3209,63
3209,64
3236,64
3236,64
3257,71
3257,71
3278,79
3278,79
3299,84
3299,84
3320,85
