# time,message_loops * LIMIT + total_messages
0,0
0,0
21,44
42,120
63,226
84,352
105,502
126,710
147,1068
168,1674
189,2388
210,3448
231,4788
231,4788
252,6256
273,7984
294,9982
315,12260
336,14734
336,14734
357,17368
378,20180
399,23216
420,26430
441,29682
462,32976
483,36404
483,36404
504,39998
525,43630
546,47334
567,51072
588,54790
609,58556
630,62438
651,66342
672,70250
693,74134
693,74134
714,78032
735,81914
756,85668
777,89404
798,93138
819,96960
840,100672
861,104320
882,107990
903,111786
924,115672
945,119618
945,119618
966,123610
987,127656
1008,131734
1029,135830
1050,139916
1071,143988
1092,148140
1113,152264
1134,156404
1155,160512
1176,164566
1197,168628
1218,172634
1239,176676
1260,180674
1281,184644
1302,188526
1323,192438
1344,196330
1344,196330
1365,200260
1386,204158
1407,208050
1428,211990
1449,215948
1470,219896
1491,223778
1512,227684
1533,231532
1554,235316
1575,239062
1575,239062
1596,242916
1617,246758
1638,250636
1659,254500
1680,258292
1701,262168
1722,265956
1743,269712
1764,273462
1785,277198
1806,280890
1827,284678
1848,288556
1869,292516
1890,296614
1911,300636
1932,304568
1953,308382
1974,312234
1995,316188
1995,316188
2016,320132
2037,324018
2058,327924
2079,331796
2100,335656
2100,335656
2121,339582
2142,343506
2163,347512
2184,351432
2205,355338
2226,359242
2247,363196
2268,367224
2289,371222
2310,375202
2331,379170
2352,383166
2373,387122
2394,391116
2415,395172
2436,399234
2457,403210
2457,403210
2478,407210
2499,411220
2520,415230
2541,419266
2562,423334
2583,427424
2604,431440
2625,435384
2646,439334
2667,443236
2688,447082
2709,450906
2730,454654
2751,458564
2772,462536
2772,462536
2793,466548
2814,470578
2814,470578
2835,474568
2856,478530
2877,482498
2898,486476
2919,490524
2940,494550
2961,498600
2982,502636
3003,506710
3024,510800
3045,514836
3066,518828
3087,522740
3108,526732
3129,530682
3150,534570
3171,538454
3192,542410
3213,546318
3213,546318
3234,550180
3255,554014
3276,557810
3297,561648
3318,565524
3339,569386
3360,573224
3360,573224
3381,577154
3402,581058
3423,584864
3423,584864
3444,588616
3465,592404
3486,596240
3507,600100
3507,600100
3528,603920
3549,607838
3570,611774
3591,615692
3612,619576
3633,623404
3654,627242
3675,631142
3696,635132
3717,639182
3738,643286
3759,647432
3780,651444
3780,651444
3801,655296
3822,659112
3843,662898
3864,666758
3885,670662
3906,674584
3927,678510
3948,682430
3969,686362
3990,690318
4011,694262
4032,698150
4053,701992
4074,705822
4095,709642
4116,713522
4137,717522
4158,721532
4179,725502
4179,725502
4200,729426
4200,729426
4221,733414
4242,737352
4263,741300
4284,745276
4305,749248
4326,753162
4347,757080
4368,761028
4389,765054
4410,769098
4410,769098
4431,773134
