# time,current_number_bots
0,0
0,0
3,0
3,0
3,1
3,1
18,1
18,1
18,0
18,0
49,0
49,0
49,1
49,1
59,1
59,1
59,0
59,0
69,0
69,0
69,1
69,1
71,1
71,1
71,0
126,0
126,0
126,1
126,1
153,1
153,1
153,0
153,0
250,0
250,0
250,1
250,1
265,1
265,1
265,0
265,0
347,0
347,0
347,1
347,1
358,1
358,1
358,0
358,0
462,0
462,0
462,1
462,1
473,1
473,1
473,0
473,0
511,0
511,0
511,1
511,1
522,1
522,1
522,0
522,0
523,0
523,0
523,1
523,1
540,1
540,0
540,0
663,0
663,0
663,1
669,1
669,1
669,2
669,2
671,2
671,2
671,3
671,3
679,3
679,3
679,2
690,2
690,2
690,1
695,1
695,1
695,0
695,0
753,0
753,0
753,1
753,1
768,1
768,1
768,0
794,0
794,0
794,1
794,1
811,1
811,0
811,0
829,0
829,0
829,1
829,1
839,1
839,1
839,0
839,0
853,0
853,0
853,1
853,1
865,1
