# time,message_loops * LIMIT + total_messages
0,0
0,0
2,6
4,10
6,14
8,18
10,22
12,26
12,26
14,38
16,46
18,54
20,62
22,70
24,78
26,86
28,94
30,102
32,116
34,126
36,140
38,152
38,152
40,164
40,164
42,172
42,172
44,188
46,200
48,212
50,224
52,236
54,248
56,258
56,258
58,272
60,284
62,296
64,304
66,320
68,332
70,344
72,356
74,366
74,366
76,380
78,392
80,404
82,424
84,440
86,452
88,472
90,488
92,504
94,520
96,536
98,552
100,568
100,568
102,588
102,588
104,612
106,632
106,632
108,650
110,672
112,692
114,712
116,732
118,752
120,772
122,788
124,802
126,822
128,838
128,838
130,852
132,870
134,892
136,912
138,932
140,952
142,972
144,986
146,1016
148,1042
150,1066
152,1090
154,1122
156,1146
156,1146
158,1178
160,1206
162,1234
164,1262
166,1284
168,1318
170,1346
170,1346
172,1374
174,1398
176,1430
178,1454
180,1494
182,1526
184,1558
186,1590
188,1618
188,1618
190,1654
192,1686
194,1718
196,1746
198,1782
198,1782
200,1806
200,1806
202,1846
204,1878
206,1916
208,1952
210,1984
212,2024
214,2060
216,2098
218,2138
220,2182
222,2216
224,2262
226,2314
228,2372
230,2424
232,2474
234,2528
236,2574
236,2574
238,2624
240,2684
242,2736
244,2784
244,2784
246,2842
248,2898
250,2964
250,2964
252,3038
254,3110
256,3194
258,3266
260,3338
260,3338
262,3426
264,3510
264,3510
266,3604
268,3692
268,3692
270,3786
272,3882
272,3882
274,3986
276,4080
276,4080
278,4188
280,4282
282,4374
284,4476
286,4568
288,4668
290,4770
292,4862
294,4960
296,5058
298,5170
300,5274
302,5396
304,5500
306,5622
308,5720
308,5720
310,5840
312,5954
314,6078
316,6194
318,6310
320,6438
322,6570
324,6694
326,6820
328,6972
330,7104
330,7104
332,7264
334,7408
336,7564
336,7564
338,7726
338,7726
340,7874
342,8026
344,8196
346,8352
348,8512
350,8686
352,8848
354,9034
356,9214
358,9410
360,9602
362,9782
364,9968
366,10152
368,10332
370,10530
372,10736
374,10924
376,11138
378,11326
380,11530
382,11744
384,11944
386,12160
388,12384
390,12594
392,12804
392,12804
394,13038
396,13248
398,13478
400,13714
402,13942
402,13942
404,14174
406,14400
408,14622
410,14852
412,15070
414,15290
416,15526
418,15750
420,15968
420,15968
422,16206
422,16206
424,16432
426,16658
428,16884
430,17106
430,17106
432,17326
434,17542
436,17756
438,17984
440,18204
442,18430
442,18430
444,18678
446,18918
446,18918
448,19168
450,19402
452,19636
452,19636
454,19876
456,20122
458,20360
460,20618
462,20846
464,21088
466,21338
468,21598
470,21850
472,22088
474,22330
476,22572
478,22824
480,23080
480,23080
482,23344
484,23584
484,23584
486,23838
488,24102
490,24342
