# time,message_loops * LIMIT + total_messages
0,0
0,0
25,0
25,4
25,4
26,4
26,4
26,6
26,6
27,6
27,6
27,8
27,8
28,8
28,8
28,10
28,10
29,10
29,10
29,12
30,12
30,12
30,14
30,14
31,14
31,14
31,16
32,16
32,16
32,18
33,18
33,18
33,20
34,20
34,20
34,22
34,22
36,22
36,22
36,26
37,26
37,26
37,28
38,28
38,28
38,30
38,30
39,30
39,30
39,32
40,32
40,32
40,34
41,34
41,34
41,36
41,36
42,36
42,36
42,38
43,38
43,38
43,40
44,40
44,40
44,42
45,42
45,42
45,44
45,44
47,44
47,48
47,48
48,48
48,48
48,50
48,50
49,50
49,50
49,52
49,52
50,52
50,52
50,54
50,54
51,54
51,54
51,56
51,56
52,56
52,56
52,58
53,58
53,58
53,60
54,60
54,60
54,62
54,62
55,62
55,62
55,64
56,64
56,64
56,66
58,66
58,70
58,70
59,70
59,70
59,72
60,72
60,72
60,74
61,74
61,74
61,76
62,76
62,76
62,78
63,78
63,78
63,80
64,80
64,80
64,82
65,82
65,82
65,84
65,84
66,84
66,84
66,86
67,86
67,86
67,88
67,88
69,88
69,92
69,92
70,92
70,92
70,94
71,94
71,94
71,96
72,96
72,96
72,98
73,98
73,98
73,100
73,100
74,100
74,100
74,102
74,102
75,102
75,102
75,104
75,104
76,104
76,104
76,106
76,106
77,106
77,106
77,108
78,108
78,108
78,110
80,110
80,110
80,114
81,114
81,114
81,116
81,116
82,116
82,116
82,118
82,118
83,118
83,118
83,120
83,120
84,120
84,126
84,126
85,126
85,126
85,130
86,130
86,130
86,134
87,134
87,134
87,138
88,138
88,138
88,142
88,142
89,142
89,142
89,146
89,146
90,146
90,146
90,148
90,148
91,148
91,148
91,154
92,154
92,154
92,158
92,158
93,158
93,158
93,162
94,162
94,162
94,164
94,164
95,164
95,164
95,170
96,170
96,170
96,174
97,174
97,174
97,178
97,178
98,178
98,178
98,182
99,182
99,182
99,186
99,186
100,186
100,186
100,190
101,190
101,190
101,192
101,192
102,192
102,192
102,198
103,198
103,198
103,202
103,202
104,202
104,202
104,212
105,212
105,212
105,218
106,218
106,218
106,224
107,224
107,224
107,236
108,236
108,236
108,244
109,244
109,244
109,252
109,252
110,252
110,252
110,260
111,260
111,260
111,268
112,268
112,268
112,276
112,276
113,276
113,276
113,290
114,290
114,290
114,296
115,296
115,296
115,310
116,310
116,310
116,320
117,320
117,320
117,328
118,328
118,328
118,340
119,340
119,340
119,350
120,350
120,350
120,360
121,360
121,360
121,370
122,370
122,370
122,380
123,380
123,380
123,386
124,386
124,386
124,400
125,400
125,400
125,414
125,414
126,414
126,414
126,428
127,428
127,428
127,440
127,440
128,440
128,440
128,450
