# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
2,6
4,10
6,14
8,18
10,22
12,26
14,30
16,34
18,38
20,42
22,44
22,44
24,50
26,54
28,58
30,62
32,66
34,70
36,74
38,78
38,78
40,84
42,88
44,92
46,96
48.09507244918495,100
48.09507244918495,100
51,112
51,112
53.09507244918495,122
56,132
58.09507244918495,142
61,152
63.09507244918495,162
66,172
68.09507244918495,182
71,188
71,188
73.09507244918495,202
76,212
78.09507244918495,222
81,232
83.09507244918495,242
86,252
88.09507244918495,262
91,272
93.09507244918495,280
96,292
98.09507244918495,302
101,312
103.095072449185,320
103.095072449185,320
106,332
108.095072449185,342
111,352
113.095072449185,362
116,372
118.095072449185,384
121,394
123.095072449185,406
126,416
128.8588822511956,428
131.095072449185,446
134,462
136.8588822511956,478
139.095072449185,490
139.095072449185,490
142,510
144.8588822511956,530
147.141439646064,554
150,574
152.8588822511956,598
155.141439646064,620
158,642
160.8588822511956,662
160.8588822511956,662
163.141439646064,694
166,716
166,716
168.8588822511956,746
171.141439646064,772
174,798
176.8588822511956,834
179.2756755406554,868
182.141439646064,900
185,930
187.8588822511956,966
190.2756755406554,1002
193.141439646064,1034
196,1064
198.8588822511956,1098
201.2756755406554,1134
204.141439646064,1168
207,1206
209.8588822511956,1246
212.2756755406554,1284
215.141439646064,1322
218,1360
220.8588822511956,1402
223.2756755406554,1450
226.141439646064,1492
229,1538
231.8588822511956,1580
234.6721037438297,1632
237.2756755406555,1682
240.1414396460642,1734
240.1414396460642,1734
243.0000000000003,1782
243.0000000000003,1782
245.858882251196,1836
248.6721037438301,1886
251.2820955608328,1942
254.1414396460645,2000
257.0000000000005,2054
259.8588822511963,2112
259.8588822511963,2112
262.6721037438305,2166
265.2820955608333,2232
265.2820955608333,2232
268.1414396460651,2294
271.0048603364774,2356
273.8588822511971,2420
276.6721037438313,2488
279.2820955608341,2554
282.1414396460659,2620
285.0048603364782,2692
287.8588822511979,2762
290.6721037438321,2836
293.2820955608349,2920
296.1414396460667,2996
299.0387221848725,3068
301.8588822511987,3144
304.6721037438329,3222
304.6721037438329,3222
307.2820955608357,3308
307.2820955608357,3308
310.1912786332668,3392
313.1052781129293,3476
313.1052781129293,3476
316.00486033648,3562
318.8588822511996,3650
321.6721037438339,3736
324.3902333334276,3820
327.2820955608369,3914
330.191278633268,4006
333.1052781129304,4098
336.0048603364811,4186
338.8588822512007,4282
341.6935779000299,4380
344.4916910974206,4474
347.3902333334284,4576
350.2820955608375,4674
353.1912786332684,4772
353.1912786332684,4772
356.1052781129307,4870
359.0048603364813,4978
359.0048603364813,4978
361.858882251201,5088
364.6935779000303,5194
