# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
8,18
16,34
24,50
32,66
40,82
48,98
56,114
64,130
72,146
80,162
88,176
88,176
96,196
104.7723212037235,212
104.7723212037235,212
113,250
121.7723212037235,284
130.0140199600719,328
138.7723212037235,380
147.0140199600719,430
155.7723212037235,496
164.3537739543276,568
173.0140199600718,642
181.7723212037232,732
190.3537739543273,834
199.0250085227865,938
207.7723212037234,1054
216.3537739543277,1176
225.0324951028282,1324
233.7723212037236,1466
242.3537739543277,1622
251.0324951028282,1774
259.7723212037234,1950
268.5431460502141,2140
277.3292146552137,2338
286.0958804129148,2554
294.7723212037233,2766
294.7723212037233,2766
303.5431460502141,3002
312.3292146552137,3250
321.0958804129148,3488
321.0958804129148,3488
329.7723212037235,3746
329.7723212037235,3746
338.5431460502148,4018
347.3292146552149,4302
356.1122289452799,4588
364.7723212037249,4888
373.5431460502156,5198
373.5431460502156,5198
382.3292146552152,5524
391.1122289452795,5862
399.7723212037239,6190
408.5431460502141,6546
417.3292146552137,6914
426.1122289452784,7282
434.7723212037233,7656
443.543146050214,8052
452.3292146552137,8462
461.1122289452784,8860
469.7723212037233,9286
478.543146050214,9714
487.3292146552137,10144
487.3292146552137,10144
496.1122289452784,10586
504.7723212037233,11040
513.543146050214,11504
522.3292146552126,11978
531.1122289452761,12462
539.7723212037201,12970
548.54314605021,13484
557.3292146552086,13998
566.1122289452721,14528
574.8334771785525,15072
583.617537843461,15626
592.4064942330363,16188
601.148611521753,16754
609.8334771785445,17322
618.6175378434531,17932
627.4064942330283,18504
636.148611521745,19080
644.8334771785366,19686
653.6175378434451,20288
662.4064942330212,20906
671.148611521739,21526
671.148611521739,21526
679.8334771785316,22166
688.617537843441,22820
697.4064942330173,23476
706.148611521735,24144
714.8334771785276,24810
723.5959897832652,25518
732.3702701199039,26202
741.148611521731,26922
749.8334771785236,27638
749.8334771785236,27638
758.5959897832612,28364
767.3702701198999,29108
776.1486115217275,29846
784.8334771785211,30606
793.5959897832597,31380
802.3702701198995,32152
811.1486115217275,32944
819.8334771785211,33732
828.5831314893925,34544
837.3702701198995,35374
846.1486115217275,36196
854.8334771785211,37022
863.5831314893925,37878
872.3702701198995,38738
881.1486115217277,39616
889.8986932928008,40480
898.6578164891629,41380
907.4465099095061,42300
916.2143491152523,43198
924.999999999966,44106
933.7723212036907,45036
942.5431460501825,46000
951.329214655183,46960
951.329214655183,46960
960.0324951027981,47932
968.81230414046,48908
977.5831314894037,49892
986.3702701199117,50882
995.1486115217407,51912
1003.932366644565,52916
1012.714914702782,53948
1021.492856300412,54972
1030.267176534791,56018
1039.032495102816,57088
