# time,current_number_bots
0,0
0,0
54,0
54,0
62,1
62,1
89,1
89,1
97,2
97,2
109,2
109,2
117,1
117,1
126,1
126,1
134,0
134,0
191,0
191,0
199,1
199,1
248,1
248,1
256,0
256,0
299,0
299,0
307,1
307,1
342,1
342,1
350.6958983629011,2
350.6958983629011,2
359.0758501123637,3
359.0758501123637,3
367.6958983629011,5
367.6958983629011,5
376.3654572767991,6
376.3654572767991,6
385.0758501123637,5
385.0758501123637,5
393.3654572767991,6
393.3654572767991,6
442,6
442.0000000000005,6
450.5124494202204,5
450.5124494202204,5
476.3348802464269,5
476.3348802464269,5
485.9999999999995,5
494.6817623026604,4
494.6817623026604,4
503.9999999999995,4
503.9999999999995,4
520.1322036887848,4
520.1322036887848,4
528.6817623026602,5
528.6817623026602,5
547.1457568364442,5
547.1457568364442,5
555.6817623026601,6
555.6817623026601,6
564.1322036887851,5
564.1322036887851,5
573.1322036887865,5
573.1322036887865,5
581.8084575141924,6
581.8084575141924,6
590.1322036887884,5
590.1322036887884,5
598.8084575141947,6
598.8084575141947,6
607.1322036887907,5
607.1322036887907,5
615.8084575141963,6
615.8084575141963,6
624.0000000000063,9
624.0000000000078,9
632.680629331383,10
632.680629331383,10
641.0000000000051,8
641.0000000000067,8
649.6851765124314,9
649.6851765124314,9
658.0000000000044,8
658.000000000005,8
666.6806293313814,6
666.6806293313814,6
675.1289602031502,8
675.1289602031502,8
686.1289602031497,8
686.1289602031497,8
694.4793605271288,9
694.4793605271288,9
703.1289602031485,10
703.1289602031485,10
716.4793605271268,10
716.4793605271268,10
725.1289602031469,11
725.1289602031469,11
733.8418612691764,10
733.8418612691764,10
749.8418612691786,10
749.8418612691786,10
758.479360527131,14
758.479360527131,14
767.2350881887603,12
767.2350881887603,12
777.2350881887609,12
777.2350881887609,12
788.3630141836153,12
788.3630141836153,12
797.0000000000069,11
797.0000000000074,11
805.6740678842764,9
805.6740678842764,9
814.4577937193094,6
814.4577937193094,6
823.0000000000088,4
823.0000000000099,4
848.498396550071,4
848.498396550071,4
869.0000000000097,4
869.0000000000103,4
877.2473676178769,3
877.2473676178769,3
886.0000000000102,2
886.0000000000106,2
914.0000000000122,2
914.0000000000124,2
922.0000000000127,0
922.000000000013,0
985.0000000000121,0
985.0000000000125,0
993.009664267741,1
993.009664267741,1
1042.00000000001,1
1042.000000000012,1
1050.00000000001,0
1050.000000000012,0
1075.00000000001,0
1075.00000000001,0
1083.00000000001,1
1083.00000000001,1
1106.00000000001,1
1106.00000000001,1
1114.087174796045,3
1114.087174796045,3
1122.087174796045,4
1122.087174796045,4
1151.08717479605,4
1151.08717479605,4
1159.522081703866,7
1159.522081703866,7
