# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
8,18
8,18
16,34
16,34
24,50
24,50
32,66
32,66
40,82
40,82
48,98
56,116
56,116
64,132
64,132
72,148
72,148
80,178
80,178
88,210
88,210
96,242
96,242
104,284
104,284
112,326
120,358
128,386
136,402
144,416
144,416
152,434
160,450
168,466
168,466
176,482
184,498
192,516
200,532
208.4825774743222,564
217,598
225.4825774743222,632
234,666
234,666
242.4825774743222,700
251,728
251,728
259,744
259,744
267,760
267,760
275,776
275,776
283,792
283,792
291,808
291,808
299,824
299,824
307,842
307,842
315.6958983629011,862
324,896
324,896
332.6958983629011,928
341,964
341,964
349.6958983629011,1000
358.0758501123637,1044
366.6958983629011,1096
375.3654572767991,1170
384.0758501123637,1236
392.3654572767991,1298
401.0758501123637,1356
409.4361646758759,1422
409.4361646758759,1422
418.0758501123637,1500
426.4361646758759,1586
435.1457568364447,1672
443.4361646758759,1770
452.1457568364447,1868
460.5124494202203,1972
469.1457568364445,2070
477.5124494202202,2176
486.1457568364445,2266
494.6817623026604,2342
503.4361646758757,2412
512.1457568364444,2480
520.6817623026603,2546
529.1457568364442,2630
537.6817623026601,2718
546.1457568364442,2820
554.6817623026601,2924
563.132203688785,3018
571.8084575141913,3118
580.1322036887869,3220
588.8084575141934,3320
597.1322036887893,3418
605.8084575141958,3520
614.0000000000061,3604
614.0000000000077,3604
622.6806293313838,3692
631.0000000000056,3800
631.0000000000072,3800
639.6806293313828,3888
648.0000000000049,3974
648.0000000000063,3974
656.680629331382,4046
665.1289602031512,4126
673.6806293313807,4206
682.12896020315,4290
690.4793605271292,4374
699.1289602031489,4462
707.8418612691765,4556
716.4793605271268,4658
716.4793605271268,4658
725.1289602031469,4782
733.8418612691764,4900
742.4793605271285,5026
751.235088188758,5152
760.0000000000045,5298
760.0000000000048,5298
768.4793605271321,5436
777.2350881887609,5572
777.2350881887609,5572
786.0000000000061,5732
794.6740678842755,5890
803.4577937193088,6054
812.2350881887633,6190
821.0000000000086,6292
821.0000000000097,6292
829.3930058464867,6350
838.0000000000092,6400
838.0000000000103,6400
846.4983965500709,6468
855.2473676178762,6538
864.0000000000095,6590
864.0000000000107,6590
872.2473676178766,6638
881.0000000000101,6692
881.0000000000107,6692
889.2473676178774,6740
889.2473676178774,6740
898.000000000011,6794
898.0000000000113,6794
906.2473676178788,6842
915.0000000000123,6894
915.0000000000125,6894
923.0000000000127,6918
923.000000000013,6918
931.5062477556776,6934
931.5062477556776,6934
940.0000000000127,6952
940.0000000000132,6952
948.0000000000125,6968
948.0000000000127,6968
956.0000000000124,6984
964.0000000000125,7000
972.0000000000125,7014
