# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
17,36
34,70
51,104
68,138
85,174
102,228
119,320
136.3309572934398,456
153.8637352220863,626
171.3309572934398,840
188.8637352220865,1096
206.4096911032998,1398
223.8637352220867,1714
241.4272707568757,2048
259.0000000000003,2416
276.499606571094,2840
293.9999999999999,3312
311.4996065710938,3830
328.9999999999997,4372
329,4372
346.4996065710935,4968
363.9999999999997,5600
381.4996065710936,6280
398.9999999999998,6968
416.4996065710936,7712
433.9999999999993,8512
451.4996065710922,9362
451.4996065710922,9362
469.0767456082413,10278
486.6263916439557,11232
504.1727560435269,12198
521.7434652203457,13200
539.2912174623735,14224
556.8644374883983,15310
574.40969110331,16428
591.9735807920631,17606
609.5162835301398,18806
627.0767456082627,20052
644.6263916439819,21322
662.1727560435572,22636
679.7434652203772,24002
697.3092441884414,25390
714.8644374884252,26834
732.4096911033347,28294
749.9735807920872,29796
767.5258161983472,31320
785.0767456082785,32864
802.6263916439917,34392
820.1727560435613,35980
837.7434652203776,37576
855.3092441884397,39212
872.8665603803668,40860
890.4127935658103,42546
907.9735807920836,44248
925.5258161983461,45958
943.0936801649096,47752
960.6700174763544,49570
978.2372184098111,51444
978.2372184098111,51444
995.8057036274573,53356
1013.365457087983,55338
1030.906854212354,57358
1048.471586148269,59414
1048.471586148269,59414
1066.025419495688,61540
1066.025419495688,61540
1083.581773761031,63654
1101.153320728132,65812
1118.719102262922,67956
1136.293069397217,70150
1153.866785375165,72374
1153.866785375165,72374
1171.409691103363,74608
1188.973580792114,76936
1206.537641176915,79270
1224.115072132406,81670
1241.670017476376,84076
1259.224686965957,86540
1276.791390900089,89012
1294.365457087996,91560
1311.906854212362,94144
1329.471586148268,96738
1347.025419495681,99378
1364.602177950379,102022
1382.172756043596,104752
1399.743465220413,107428
1417.309244188479,110186
1417.309244188479,110186
1434.88587905373,112954
1452.449764725802,115746
1470.025419495701,118582
1487.602177950404,121392
1505.172756043621,124314
1522.743465220438,127224
1540.3092441885,130186
1557.885879053745,133170
1575.449764725808,136172
1593.025419495699,139260
1610.602177950389,142346
1628.17275604359,145458
1645.743465220394,148558
1663.309244188442,151708
1663.309244188442,151708
1680.885879053673,154866
1698.463838398541,158052
1716.025419495609,161230
1733.602177950295,164406
1751.173593987581,167646
1768.743465220308,170876
1786.309244188367,174132
1803.885879053606,177402
1821.463838398481,180680
1839.025419495554,184014
1856.602177950249,187360
1874.173593987543,190750
1891.74346522027,194118
1891.74346522027,194118
1909.309244188329,197556
1926.885879053571,201032
1944.463838398452,204540
1962.025419495531,208100
1979.602177950227,211662
1979.602177950227,211662
1997.17359398752,215270
