# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
17,36
34,70
51,106
68.00342541490681,146
85.00342541490681,216
102.372893344678,300
119.372893344678,404
136.421205662258,538
153.421205662258,674
170.4588922777969,826
188.0034254149062,1016
205.4588922777959,1258
223.0034254149052,1534
240.5634832226548,1842
240.5634832226548,1842
258.0034254149043,2176
258.0034254149043,2176
275.5634832226544,2552
293.0034254149043,2960
310.5634832226544,3398
328.0034254149037,3868
345.5634832226534,4386
363.0034254149032,4928
380.5634832226534,5528
398.0034254149032,6142
398.0034254149032,6142
415.5642009226543,6810
433.0034254149032,7512
433.0034254149032,7512
450.5642009226543,8278
468.0034254149032,9056
485.5642009226543,9886
503.0661417509203,10742
520.6223614657075,11654
538.1884618841807,12598
555.7280549293425,13590
573.2595756886456,14648
590.821420444883,15736
608.3728933446777,16854
625.9491709847299,18014
643.4731661817689,19238
661.0285327633741,20514
678.564200922659,21810
696.0661417509222,23148
713.6358308628377,24528
731.2068824902591,25966
748.7844101679668,27438
766.3286451246737,28950
766.3286451246737,28950
783.8875018611842,30496
801.4588922777751,32100
819.028532763347,33756
836.564200922632,35444
854.0661417508958,37166
871.6358308628127,38908
889.2068824902341,40692
906.7844101679417,42488
924.3286451246466,44340
941.887501861159,46212
941.887501861159,46212
959.4588922777496,48126
977.0285327633195,50094
994.6026593060532,52082
1012.175843405227,54118
1029.728054929287,56188
1047.259575688593,58300
1064.823277242767,60420
1082.394847897516,62606
1099.949170984684,64808
1117.502790092761,67064
1135.07949809196,69350
1152.635830862809,71682
1170.206882490238,74086
1187.784410167952,76462
1205.336582310738,78892
1222.911392068566,81370
1240.47316618175,83884
1258.028532763359,86452
1275.604624375899,89062
1293.156315030503,91670
1310.728054929348,94366
1328.259575688654,97108
1345.823277242828,99864
1363.394847897572,102678
1363.394847897572,102678
1380.949170984736,105520
1398.50279009281,108428
1416.066141750934,111402
1433.639495148084,114416
1451.206882490286,117440
1468.761671338449,120504
1486.336582310787,123626
1503.911392068616,126778
1521.4731661818,129986
1539.028532763408,133230
1556.602659306147,136516
1574.156315030553,139844
1591.728054929398,143234
1609.301534637514,146660
1626.851436456919,150114
1644.427937277382,153616
1662.00342541498,157180
1679.578926184027,160776
1697.156315030607,164388
1714.728054929468,168074
1732.3015346376,171764
1732.3015346376,171764
1749.851436457019,175522
1767.427937277491,179322
1785.003425415096,183150
1802.578926184148,187016
1820.156315030727,190910
1837.728054929585,194894
1855.301534637712,198872
1872.85143645713,202884
1890.427937277602,206986
1908.003425415208,211082
1925.57892618426,215246
1943.156315030843,219416
1960.728054929704,223638
1978.270125232418,227858
1995.823277243208,232134
