# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
1,4
2,6
3,8
3,8
4,10
5,12
6,14
7,16
8,18
8,18
9,22
10,24
11,26
12,28
13,30
14,32
15,34
16,36
16,36
17,38
18,40
20,40
21,46
21,46
22.25099439872429,48
22.25099439872429,48
23.25099439872429,54
24.25099439872429,58
25.25099439872429,62
26.25099439872429,66
27.25099439872429,70
28.25099439872429,74
29.25099439872429,78
30.25099439872429,80
31.25099439872429,86
32.25099439872429,90
33.25099439872429,92
33.25099439872429,92
34.25099439872429,98
35.25099439872429,102
36.25099439872429,106
37.25099439872429,110
38.25099439872429,114
39.25099439872429,118
40.25099439872429,122
41.25099439872429,124
42.25099439872429,130
43.25099439872429,134
44.25099439872429,136
44.25099439872429,136
45.25099439872429,142
46.25099439872429,146
47.25099439872429,150
48.25099439872429,154
49.25099439872429,158
50.25099439872429,162
51.25099439872429,166
52.25099439872429,168
53.25099439872429,174
54.25099439872429,178
55.25099439872429,180
55.25099439872429,180
56.25099439872429,186
57.25099439872429,190
58.25099439872429,194
59.25099439872429,198
60.25099439872429,202
61.25099439872429,206
62.25099439872429,210
63.25099439872429,212
64.25099439872429,218
65.25099439872429,222
66.25099439872429,224
66.25099439872429,224
67.25099439872429,230
68.25099439872429,234
69.25099439872429,240
70.25099439872429,244
71.25099439872429,248
72.25099439872429,252
73.25099439872429,256
74.25099439872429,260
75.25099439872429,264
76.25099439872429,268
77.25099439872429,270
77.25099439872429,270
78.25099439872429,276
79.25099439872429,278
80.25099439872429,284
81.25099439872429,288
82.25099439872429,292
83.25099439872429,296
84.25099439872429,300
85.25099439872429,304
86.25099439872429,308
87.64400819986976,312
87.64400819986976,312
89,322
90.25099439872429,332
91.64400819986976,340
93,348
93,348
94.25099439872429,356
95.64400819986976,366
97,374
98.25099439872429,382
99.7144271649412,388
99.7144271649412,388
101,402
102.2509943987243,412
103.7144271649412,424
105,432
105,432
106.2509943987243,444
107.7144271649412,456
109,466
109,466
110.2509943987243,472
110.2509943987243,472
111.7144271649412,488
113,498
113,498
114.2509943987243,508
115.7144271649412,520
117,530
118.2509943987243,540
119.7144271649412,552
121,564
121,564
122.3852744348474,578
123.7144271649412,594
125,606
126.3852744348474,620
127.7144271649412,632
129,646
130.3852744348474,658
130.3852744348474,658
131.7144271649412,676
133,684
134.3852744348474,702
135.7144271649412,716
137,728
138.3852744348474,738
139.7144271649412,750
141,760
142.3852744348474,774
143.7144271649412,782
145.044474651443,794
145.044474651443,794
146.3852744348474,812
147.7144271649412,824
149.044474651443,836
150.3852744348474,852
151.7144271649412,864
153.044474651443,876
154.3852744348474,890
155.7144271649412,902
