# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
3.004407251253724,12
6.475241149853606,22
9.907180156869504,38
13.28102155950172,54
16.28154229711061,66
16.28154229711061,66
19.75666504784738,80
22.61437208124688,94
26,106
26,106
29.29991366886899,120
32.71410753424644,138
36,154
36,154
39.20287129998113,166
42.45548272568639,176
45.44606392404902,186
48.82967298933913,202
52.3243809018346,228
55.7932524030562,258
59.14789575168678,294
62.5175854128331,318
65.94773152516578,348
69.44840346605899,374
72.93453651150249,410
76.16273534617537,448
79.61214309010512,492
83.1039569710556,532
83.1039569710556,532
86.59745233982832,604
89.99224952864942,668
93.33607715336005,722
96.49138047883918,766
100,832
100,832
103.5119814185315,898
107.0125456321968,964
110.472157687627,1026
113.7818350103642,1096
117.175556611571,1182
120.6456878682091,1260
124.1397659095636,1338
124.1397659095636,1338
127.6234788227147,1424
131.0969625099114,1526
134.6040338074271,1630
138.0995734264205,1738
141.5610519051772,1832
145.0426834093201,1938
148.4393615666147,2044
151.8851500907859,2164
155.3248888754269,2292
158.8241455327705,2400
162.2674263010491,2502
165.75146619661,2614
169.2517569997425,2748
172.6963856562603,2880
176.1280272235765,3018
179.6259946234867,3154
183.1320398908553,3294
186.6385180596419,3452
190.1229228859264,3590
193.6043422532694,3746
193.6043422532694,3746
197.0112258155198,3896
200.5167332627186,4062
204.0017072934881,4212
207.4583970451373,4350
210.9593498898124,4522
214.4614639491192,4698
217.9208879177183,4872
221.4306186148045,5030
224.9179202832676,5196
228.4315393337372,5370
228.4315393337372,5370
231.9207879180718,5546
235.4171502437511,5744
238.9255444687204,5940
242.3693476842852,6142
245.8458852761064,6328
245.8458852761064,6328
249.3597902188369,6534
252.8663098589267,6724
256.2603231690807,6950
259.6802568977088,7154
263.1947497089809,7356
266.6906906310624,7570
270.1970815718039,7774
273.6478832848831,8014
277.1327886027447,8244
280.6163805701727,8472
283.9886421172526,8706
287.499945141851,8936
290.9995520890932,9162
294.4958379888685,9412
298.0107322917223,9676
301.5157056869721,9912
305.0239967280285,10192
308.4883303789346,10466
311.9999999999984,10744
311.9999999999984,10744
315.4255026637948,11016
318.9129162424871,11296
322.4132561888466,11574
325.898604850745,11872
329.3748196751923,12152
332.8886729778667,12422
336.3571024876713,12696
339.8698161850412,12994
343.2833204209932,13294
346.7944558571539,13588
350.3097837931707,13920
353.8229881710818,14202
357.3211483856703,14516
360.8110063049338,14820
364.2905439711508,15140
367.7552686067353,15440
371.224907242007,15776
374.7268454462821,16084
378.2360514163319,16432
381.7505677191132,16798
385.2532478239842,17144
388.7182474216708,17466
392.2245073841672,17814
395.7068128981081,18172
399.2067339906261,18532
