# total_scans #1
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.74575645220466 2.0
15.74575645220466 3.0
17.0 3.0
17.0 4.0
20.0 4.0
20.0 5.0
22.74575645220466 5.0
22.74575645220466 6.0
24.72233675112666 6.0
24.74575645220466 7.0
24.74575645220466 7.0
27.0 7.0
27.0 8.0
27.72233675112666 8.0
27.74575645220466 9.0
27.74575645220466 9.0
28.57566761528142 9.0
28.57566761528142 10.0
29.74575645220466 10.0
29.74575645220466 11.0
30.0 11.0
30.0 12.0
31.18918149592355 12.0
31.18918149592355 13.0
32.72233675112665 13.0
32.72233675112665 13.0
# total_scans #2
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.60393969994038 2.0
15.60393969994038 3.0
17.0 3.0
17.0 4.0
22.60393969994038 4.0
22.60393969994038 5.0
24.0 5.0
24.0 6.0
24.14701080951082 6.0
24.14701080951082 7.0
25.60393969994038 7.0
25.60393969994038 8.0
27.0 8.0
27.0 9.0
28.60393969994038 9.0
28.60393969994038 10.0
31.14701080951082 10.0
31.14701080951082 11.0
31.60393969994038 11.0
31.60393969994038 12.0
32.0 12.0
32.0 13.0
33.12763379444542 13.0
33.12763379444542 14.0
34.14701080951082 14.0
34.14701080951082 15.0
35.0 15.0
35.0 16.0
36.60393969994038 16.0
36.60393969994038 16.0
# total_scans #3
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.8215423731599 2.0
15.8215423731599 3.0
18.8215423731599 3.0
18.8215423731599 4.0
21.0 4.0
21.0 5.0
22.6237083079759 5.0
22.6237083079759 6.0
25.8215423731599 6.0
25.8215423731599 7.0
27.23311275220339 7.0
27.23311275220339 8.0
27.6237083079759 8.0
27.6237083079759 8.0
# total_scans #4
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.25324628106318 2.0
15.25324628106318 3.0
18.25324628106318 3.0
18.25324628106318 4.0
21.0 4.0
21.0 5.0
21.25324628106318 5.0
21.25324628106318 6.0
22.07134127942845 6.0
22.07134127942845 7.0
25.07134127942845 7.0
25.07134127942845 8.0
28.0 8.0
28.0 9.0
28.25324628106318 9.0
28.25324628106318 10.0
29.08215792969862 10.0
29.08215792969862 11.0
30.07134127942845 11.0
30.07134127942845 11.0
# total_scans #5
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.40514202741906 2.0
15.40514202741906 3.0
18.40514202741906 3.0
18.40514202741906 4.0
21.0 4.0
21.0 5.0
22.14774976088665 5.0
22.14774976088665 6.0
24.0 6.0
24.0 7.0
25.40514202741906 7.0
25.40514202741906 8.0
26.14774976088665 8.0
26.14774976088665 9.0
27.0 9.0
27.0 10.0
27.15775616839519 10.0
27.15775616839519 11.0
28.40514202741906 11.0
28.40514202741906 12.0
29.14774976088665 12.0
29.15775616839519 13.0
29.15775616839519 13.0
30.0 13.0
30.0 14.0
33.0 14.0
33.0 15.0
34.15775616839519 15.0
34.15775616839519 16.0
34.40514202741906 16.0
34.40514202741906 17.0
35.14774976088665 17.0
35.15775616839519 18.0
35.15775616839519 18.0
36.0 18.0
36.0 19.0
36.10124130772834 19.0
36.10124130772834 20.0
37.15775616839519 20.0
37.15775616839519 21.0
37.40514202741906 21.0
37.40514202741906 22.0
38.14774976088665 22.0
38.15775616839519 23.0
38.15775616839519 23.0
39.0 23.0
39.0 24.0
39.10124130772834 24.0
39.10124130772834 25.0
40.15775616839519 25.0
40.15775616839519 26.0
40.40514202741906 26.0
40.40514202741906 27.0
41.14774976088665 27.0
